회사명,채권종류,회차,발행액(억원),만기일,평가종류,직전등급,현재등급,평가일,리포트,Type
모트렉스,PP,7(P-CBO),80.0,,본,,BB-,2021.07.19,S,회사채
모트렉스,PP,7(P-CBO),80.0,,본,,안정적,2021.07.19,S,회사채
산은캐피탈,SB,671,,,본,,AA-,2021.07.19,S,회사채
산은캐피탈,SB,671,,,본,,안정적,2021.07.19,S,회사채
우리금융캐피탈,SB,422,,,본,,AA-,2021.07.19,S,회사채
우리금융캐피탈,SB,422,,,본,,안정적,2021.07.19,S,회사채
트루윈,BW1,11,200.0,2025.06.09,정기,B-,B-,2021.07.19,S,회사채
트루윈,BW1,11,200.0,2025.06.09,정기,안정적,안정적,2021.07.19,S,회사채
하나캐피탈,SB,333,,,본,,AA-,2021.07.19,S,회사채
하나캐피탈,SB,333,,,본,,안정적,2021.07.19,S,회사채
에스케이에코플랜트,SB,168-2,1000.0,,본,,A-,2021.07.16,S,회사채
에스케이에코플랜트,SB,168-2,1000.0,,본,,안정적,2021.07.16,S,회사채
두산인프라코어,SB,79,800.0,,본,,BBB↑,2021.07.15,S,회사채
두산인프라코어,SB,79,800.0,,본,,,2021.07.15,S,회사채
세일석유,PP,1(P-CBO),35.0,2022.12.19,정기,BB,BB,2021.07.15,S,회사채
세일석유,PP,1(P-CBO),35.0,2022.12.19,정기,안정적,안정적,2021.07.15,S,회사채
승진상사,PP,2(P-CBO),50.0,2023.10.28,정기,BB+,BB+,2021.07.15,S,회사채
승진상사,PP,2(P-CBO),50.0,2023.10.28,정기,안정적,안정적,2021.07.15,S,회사채
현대케미칼,SB,3,500.0,,본,,A,2021.07.15,S,회사채
현대케미칼,SB,3,500.0,,본,,안정적,2021.07.15,S,회사채
AJ네트웍스,SB,47,300.0,,본,,BBB+,2021.07.14,S,회사채
AJ네트웍스,SB,47,300.0,,본,,부정적,2021.07.14,S,회사채
대신증권,ELB,573,,,본,,AA-,2021.07.14,S,회사채
대신증권,ELB,573,,,본,,안정적,2021.07.14,S,회사채
디지비캐피탈,SB,73,,,본,,A+,2021.07.14,S,회사채
디지비캐피탈,SB,73,,,본,,안정적,2021.07.14,S,회사채
롯데카드,SB,442,,,본,,AA-,2021.07.14,S,회사채
롯데카드,SB,442,,,본,,안정적,2021.07.14,S,회사채
메리츠증권,ELB,193,,,본,,AA-,2021.07.14,S,회사채
메리츠증권,ELB,193,,,본,,안정적,2021.07.14,S,회사채
메리츠증권,DLB,238(DLB),,,본,,AA-,2021.07.14,S,회사채
메리츠증권,DLB,238(DLB),,,본,,안정적,2021.07.14,S,회사채
서진캠,PP,7(P-CBO),100.0,2023.06.25,정기,BB+,BB+,2021.07.14,S,회사채
서진캠,PP,7(P-CBO),100.0,2023.06.25,정기,안정적,안정적,2021.07.14,S,회사채
신성이엔지,BW1,37,300.0,2022.03.07,정기,B+,B+,2021.07.14,S,회사채
신성이엔지,BW1,37,300.0,2022.03.07,정기,안정적,안정적,2021.07.14,S,회사채
아이비케이캐피탈,SB,239-1,,,본,,AA-,2021.07.14,S,회사채
아이비케이캐피탈,SB,239-1,,,본,,안정적,2021.07.14,S,회사채
위니아딤채,PP,9(P-CBO),200.0,2023.05.28,정기,BB+,BB+,2021.07.14,S,회사채
위니아딤채,PP,9(P-CBO),200.0,2023.05.28,정기,부정적,부정적,2021.07.14,S,회사채
제주국제자유도시개발센터,PFB,9,1000.0,,본,,AAA,2021.07.14,S,회사채
제주국제자유도시개발센터,PFB,9,1000.0,,본,,안정적,2021.07.14,S,회사채
한국투자캐피탈,SB,65,,,본,,A,2021.07.14,S,회사채
한국투자캐피탈,SB,65,,,본,,안정적,2021.07.14,S,회사채
한국투자캐피탈,SB,66(한국투자금융지주 권면보증),,,본,,AA-,2021.07.14,S,회사채
한국투자캐피탈,SB,66(한국투자금융지주 권면보증),,,본,,안정적,2021.07.14,S,회사채
현대카드,SB,828,,,본,,AA,2021.07.14,S,회사채
현대카드,SB,828,,,본,,안정적,2021.07.14,S,회사채
에이디티캡스,SB,6-2,400.0,,본,,A,2021.07.13,S,회사채
에이디티캡스,SB,6-2,400.0,,본,,안정적,2021.07.13,S,회사채
한국석유공사,PFB,15,1000.0,,본,,AAA,2021.07.13,S,회사채
한국석유공사,PFB,15,1000.0,,본,,안정적,2021.07.13,S,회사채
선일다이파스,PP,1(P-CBO),70.0,2023.06.25,정기,BB-,BB-,2021.07.12,S,회사채
선일다이파스,PP,1(P-CBO),70.0,2023.06.25,정기,안정적,안정적,2021.07.12,S,회사채
아주산업,SB,35,700.0,,본,,A-,2021.07.09,S,회사채
아주산업,SB,35,700.0,,본,,안정적,2021.07.09,S,회사채
한국동서발전,SB,39-2,100.0,2031.07.13,본,,AAA,2021.07.09,S,회사채
한국동서발전,SB,39-2,100.0,2031.07.13,본,,안정적,2021.07.09,S,회사채
국동,BW1,9,200.0,2024.12.24,정기,BB-,BB-,2021.07.08,S,회사채
국동,BW1,9,200.0,2024.12.24,정기,안정적,안정적,2021.07.08,S,회사채
모트렉스,PP,3(P-CBO),43.0,2023.05.28,정기,BB-,BB-,2021.07.08,S,회사채
모트렉스,PP,3(P-CBO),43.0,2023.05.28,정기,안정적,안정적,2021.07.08,S,회사채
신한라이프생명보험,HB,1,3000.0,2050.08.11,수시,AA-↑,AA,2021.07.08,S,회사채
신한라이프생명보험,HB,1,3000.0,2050.08.11,수시,,안정적,2021.07.08,S,회사채
한국스탠다드차타드은행,SB,21-07-이02-09,2500.0,2024.07.09,본,,AAA,2021.07.08,S,회사채
한국스탠다드차타드은행,SB,21-07-이02-09,2500.0,2024.07.09,본,,안정적,2021.07.08,S,회사채
한국씨티은행,SB,25-07,,,본,,AAA,2021.07.08,S,회사채
한국씨티은행,SB,25-07,,,본,,안정적,2021.07.08,S,회사채
엠캐피탈,SB,283,,,본,,A-,2021.07.07,S,회사채
엠캐피탈,SB,283,,,본,,안정적,2021.07.07,S,회사채
농협손해보험,SBS,2,1000.0,2031.07.19,본,,A+,2021.07.06,S,회사채
농협손해보험,SBS,2,1000.0,2031.07.19,본,,안정적,2021.07.06,S,회사채
부산교통공사,PFB,2021-07,100.0,2024.07.08,본,,AAA,2021.07.06,S,회사채
부산교통공사,PFB,2021-07,100.0,2024.07.08,본,,안정적,2021.07.06,S,회사채
에코프로비엠,SB,4-2,500.0,2023.07.19,본,,BBB+,2021.07.06,S,회사채
에코프로비엠,SB,4-2,500.0,2023.07.19,본,,안정적,2021.07.06,S,회사채
제일제강공업,BW1,2,200.0,2023.12.04,정기,B,B,2021.07.06,S,회사채
제일제강공업,BW1,2,200.0,2023.12.04,정기,안정적,안정적,2021.07.06,S,회사채
