회사명,채권종류,회차,발행액(억원),만기일,평가종류,직전등급,현재등급,평가일,리포트,Type
한국수력원자력,SB,11,1000,2029.11.06,본,,AAA,2009.11.04,S R,회사채
한국수력원자력,SB,11,1000,2029.11.06,본,,안정적,2009.11.04,S R,회사채
한국수력원자력,SB,9-2,700,2029.10.16,본,,AAA,2009.10.14,S R,회사채
한국수력원자력,SB,9-2,700,2029.10.16,본,,안정적,2009.10.14,S R,회사채
국민은행,SB,2802구조일15-25,100,2023.02.25,정기,AAA,AAA,2009.05.12,S R,회사채
국민은행,SB,2802구조일15-25,100,2023.02.25,정기,안정적,안정적,2009.05.12,S R,회사채
신한은행,SB,11-05단15A,100,2022.05.02,정기,AAA,AAA,2009.05.12,S R,회사채
신한은행,SB,11-05단15A,100,2022.05.02,정기,안정적,안정적,2009.05.12,S R,회사채
신한은행,HB,신한은행1,2225,2034.10.28,정기,AA,AA,2009.05.12,S R,회사채
신한은행,HB,신한은행1,2225,2034.10.28,정기,안정적,안정적,2009.05.12,S R,회사채
국민은행,SB,2802구조일15-25,100,2023.02.25,정기,AAA,AAA,2008.07.23,S R,회사채
국민은행,SB,2802구조일15-25,100,2023.02.25,정기,안정적,안정적,2008.07.23,S R,회사채
신한은행,SB,11-05단15A,100.0,2022.05.02,정기,AAA,AAA,2008.06.26,S R,회사채
신한은행,SB,11-05단15A,100.0,2022.05.02,정기,안정적,안정적,2008.06.26,S R,회사채
신한은행,HB,신한은행1,2224.69,2034.10.28,정기,AA,AA,2008.06.26,S R,회사채
신한은행,HB,신한은행1,2224.69,2034.10.28,정기,안정적,안정적,2008.06.26,S R,회사채
국민은행,SB,2802구조일15-25,100,2023.02.25,본,,AAA,2008.02.01,S R,회사채
국민은행,SB,2802구조일15-25,100,2023.02.25,본,,안정적,2008.02.01,S R,회사채
국민은행,SB,2711구조일20-09,200,2027.11.09,본,,AAA,2007.11.01,S R,회사채
국민은행,SB,2711구조일20-09,200,2027.11.09,본,,안정적,2007.11.01,S R,회사채
신한은행,SB,11-05단15A,100.0,2022.05.02,본,,AAA,2007.05.02,S R,회사채
신한은행,SB,11-05단15A,100.0,2022.05.02,본,,안정적,2007.05.02,S R,회사채
신한은행,HB,신한은행1,2224.69,2034.10.28,정기,AA,AA,2007.04.19,S R,회사채
신한은행,HB,신한은행1,2224.69,2034.10.28,정기,안정적,안정적,2007.04.19,S R,회사채
신한은행,HB,신한은행1,2224.69,2034.10.28,정기,AA,AA,2006.05.02,S,회사채
신한은행,HB,신한은행1,2224.69,2034.10.28,정기,안정적,안정적,2006.05.02,S,회사채
신한은행,HB,신한은행1,2224.69,2034.10.28,수시,,AA,2006.04.05,S,회사채
신한은행,HB,신한은행1,2224.69,2034.10.28,수시,,안정적,2006.04.05,S,회사채
신한은행,HB,1,2725.64,2033.06.28,정기,AA,AA,2005.06.01,S R,회사채
신한은행,HB,1,2725.64,2033.06.28,정기,안정적,안정적,2005.06.01,S R,회사채
신한은행,HB,1,2725.64,2033.06.28,정기,AA-,AA,2004.05.24,S,회사채
신한은행,HB,1,2725.64,2033.06.28,정기,안정적,안정적,2004.05.24,S,회사채
신한은행,HB,1,2725.64,2033.06.28,본,,AA-,2003.06.09,S R,회사채
신한은행,HB,1,2725.64,2033.06.28,본,,안정적,2003.06.09,S R,회사채
