회사명,재무기준일,평가종류,직전등급,현재등급,평가일,유효일,리포트,Type
코비코,2020.12.31,본,,A1보증,2021.07.20,2022.06.30,S,기업어음
탭코리아,2020.12.31,본,,A1보증,2021.07.19,2022.06.30,S,기업어음
에스케이디스커버리,2020.12.31,본,,A2+,2021.07.15,2022.06.30,S,기업어음
세아제강지주,2020.12.31,본,,A2,2021.07.13,2022.06.30,S,기업어음
흥국증권,2020.12.31,본,,A3,2021.07.07,2022.06.30,S,기업어음
이지스자산운용,2020.12.31,본,,A2-,2021.07.06,2022.06.30,S,기업어음
삼척블루파워,2020.12.31,본,,A1,2021.07.02,2022.06.30,S,기업어음
대동기어,2020.12.31,본,A3보증,A3보증,2021.07.01,2022.06.30,S,기업어음
중앙일보에스,2020.12.31,본,,A3보증,2021.07.01,2022.06.30,S,기업어음
강원도개발공사,2020.12.31,본,,A1,2021.06.30,2022.06.30,S,기업어음
대한석탄공사,2020.12.31,본,A1,A1,2021.06.30,2022.06.30,S,기업어음
메가박스중앙,2020.12.31,본,A3+,A3,2021.06.30,2022.06.30,S,기업어음
부국증권,2020.12.31,본,A2+,A2+,2021.06.30,2022.06.30,S,기업어음
삼성카드,2020.12.31,본,A1,A1,2021.06.30,2022.06.30,S,기업어음
상운의료재단,2020.12.31,본,A1보증,A1보증,2021.06.30,2022.03.23,S,기업어음
신한금융지주회사,2020.12.31,본,A1,A1,2021.06.30,2022.06.30,S,기업어음
씨제이대한통운,2020.12.31,본,A1,A1,2021.06.30,2022.06.30,S,기업어음
에스케이루브리컨츠,2020.12.31,본,A1,A1,2021.06.30,2022.06.30,S,기업어음
에이제이오토파킹시스템즈,2020.12.31,본,A3+보증,A3+보증,2021.06.30,2021.08.26,S,기업어음
우리카드,2020.12.31,본,A1,A1,2021.06.30,2022.06.30,S,기업어음
웰릭스캐피탈,2020.12.31,본,,A3보증,2021.06.30,2022.06.30,S,기업어음
한국증권금융,2020.12.31,본,A1,A1,2021.06.30,2022.06.30,S,기업어음
한국지역난방공사,2020.12.31,본,,A1,2021.06.30,2022.06.30,S,기업어음
한국토지주택공사,2020.12.31,본,,A1,2021.06.30,2022.06.30,S,기업어음
한국해양진흥공사,2020.12.31,본,A1,A1,2021.06.30,2022.06.30,S,기업어음
혜명심의료재단,2020.12.31,본,A1보증,A1보증,2021.06.30,2022.03.18,S,기업어음
대동기어,2020.12.31,본,A3보증,A3보증,2021.06.29,2021.11.04,S,기업어음
롯데렌탈,2020.12.31,본,A1,A1,2021.06.29,2022.06.30,S,기업어음
롯데오토리스,2020.12.31,본,,A2,2021.06.29,2022.06.30,S,기업어음
부영주택,2020.12.31,본,A3+,A3+,2021.06.29,2022.06.30,S,기업어음
서원유통,2020.12.31,본,A1보증,A1보증,2021.06.29,2021.11.24,S,기업어음
신세계푸드,2020.12.31,본,A2+,A2+,2021.06.29,2022.06.30,S,기업어음
신한캐피탈,2020.12.31,본,A1,A1,2021.06.29,2022.06.30,S,기업어음
씨제이포디플렉스,2020.12.31,본,A3-,A3-,2021.06.29,2022.06.30,S,기업어음
아워홈,2020.12.31,본,A1,A2+,2021.06.29,2022.06.30,S,기업어음
에스앤아이코퍼레이션,2020.12.31,본,,A1,2021.06.29,2022.06.30,S,기업어음
에스와이에스리테일,2020.12.31,본,A1보증,A1보증,2021.06.29,2021.09.17,S,기업어음
에스와이에스홀딩스,2020.12.31,본,A1보증,A1보증,2021.06.29,2021.11.22,S,기업어음
엘엑스하우시스,2020.12.31,본,A1,A1,2021.06.29,2022.06.30,S,기업어음
웰컴크레디라인대부,2020.12.31,본,A3,A3,2021.06.29,2022.06.30,S,기업어음
조선호텔앤리조트,2020.12.31,본,A2-,A2-,2021.06.29,2022.06.30,S,기업어음
지에스리테일,2020.12.31,본,A1,A1,2021.06.29,2022.06.30,S,기업어음
컴퓨존,2020.12.31,본,A1보증,A1보증,2021.06.29,2022.03.15,S,기업어음
케이비증권,2020.12.31,본,A1,A1,2021.06.29,2022.06.30,S,기업어음
태영건설,2020.12.31,본,A2,A2,2021.06.29,2022.06.30,S,기업어음
티에스케이코퍼레이션,2020.12.31,본,A2+,A2+,2021.06.29,2022.06.30,S,기업어음
포스코에너지,2020.12.31,본,A1,A1,2021.06.29,2022.06.30,S,기업어음
하나금융투자,2020.12.31,본,A1,A1,2021.06.29,2022.06.30,S,기업어음
하이투자증권,2020.12.31,본,A1,A1,2021.06.29,2022.06.30,S,기업어음
한국광물자원공사,2020.12.31,본,,A1,2021.06.29,2022.06.30,S,기업어음
한국남동발전,2020.12.31,본,,A1,2021.06.29,2022.06.30,S,기업어음
현대차증권,2020.12.31,본,A1,A1,2021.06.29,2022.06.30,S,기업어음
현대카드,2020.12.31,본,A1,A1,2021.06.29,2022.06.30,S,기업어음
효성,2020.12.31,본,A2,A2,2021.06.29,2022.06.30,S,기업어음
SK이노베이션,2020.12.31,본,A1,A1,2021.06.28,2022.06.30,S,기업어음
나전,2020.12.31,본,A1보증,A1보증,2021.06.28,2022.03.31,S,기업어음
대동,2020.12.31,본,A3,A3,2021.06.28,2022.06.30,S,기업어음
대동기어,2020.12.31,본,A3보증,A3보증,2021.06.28,2021.07.23,S,기업어음
롯데알미늄,2020.12.31,본,A2+,A2+,2021.06.28,2022.06.30,S,기업어음
에이제이오토파킹시스템즈,2020.12.31,본,A3+보증,A3+보증,2021.06.28,2021.12.29,S,기업어음
오리온,2020.12.31,본,A1,A1,2021.06.28,2022.06.30,S,기업어음
오리온제주용암수,2020.12.31,본,A1보증,A1보증,2021.06.28,2022.03.10,S,기업어음
오리온홀딩스,2020.12.31,본,A1,A1,2021.06.28,2022.06.30,S,기업어음
우리금융캐피탈,2020.12.31,본,A1,A1,2021.06.28,2022.06.30,S,기업어음
유진투자증권,2020.12.31,본,A2+,A2+,2021.06.28,2022.06.30,S,기업어음
지에스스포츠,2020.12.31,본,A3+,A3+,2021.06.28,2022.06.30,S,기업어음
케이비부동산신탁,2020.12.31,본,A2+,A2+,2021.06.28,2022.06.30,S,기업어음
코리아세븐,2020.12.31,본,A1,A2+,2021.06.28,2022.06.30,S,기업어음
한국캐피탈,2020.12.31,본,A2,A2,2021.06.28,2022.06.30,S,기업어음
현대오일뱅크,2020.12.31,본,A1,A1,2021.06.28,2022.06.30,S,기업어음
AJ네트웍스,2020.12.31,본,A3+,A3+,2021.06.25,2022.06.30,S,기업어음
