회사명,재무기준일,평가종류,직전등급,직전Outlook,현재등급,현재Outlook,기준통화,평가일,리포트,Type
국민행복기금,2020.12.31,수시,,,AA-,안정적,원화/외화,2021.07.12,S,Issuer Rating
웰릭스캐피탈,2020.12.31,본,,,BBB-,안정적,원화/외화,2021.07.06,S,Issuer Rating
대상산업,2020.12.31,정기,BB-,안정적,BB-,안정적,원화/외화,2021.07.02,S,Issuer Rating
유안타증권,2020.12.31,본,A+,긍정적,A+,긍정적,원화/외화,2021.06.30,S,Issuer Rating
제이알글로벌위탁관리부동산투자회사,2020.12.31,정기,A-,안정적,A-,안정적,원화/외화,2021.06.30,S,Issuer Rating
JB금융지주,2020.12.31,본,AA+,안정적,AA+,안정적,원화/외화,2021.06.29,S,Issuer Rating
신세계푸드,2020.12.31,정기,A+,안정적,A+,안정적,원화/외화,2021.06.29,S,Issuer Rating
전북은행,2020.12.31,본,AA+,안정적,AA+,안정적,원화/외화,2021.06.29,S,Issuer Rating
현대차증권,2020.12.31,정기,AA-,안정적,AA-,안정적,원화/외화,2021.06.29,S,Issuer Rating
케이비저축은행,2020.12.31,정기,A,안정적,A,안정적,원화/외화,2021.06.28,S,Issuer Rating
광주은행,2020.12.31,본,AA+,안정적,AA+,안정적,원화/외화,2021.06.25,S,Issuer Rating
더케이저축은행,2020.12.31,본,BBB,안정적,BBB,부정적,원화/외화,2021.06.25,S,Issuer Rating
이베스트투자증권,2020.12.31,본,A,안정적,A,안정적,원화/외화,2021.06.25,S,Issuer Rating
제이티캐피탈,2020.12.31,본,,,BBB,안정적,원화/외화,2021.06.25,S,Issuer Rating
지에스에너지,2020.12.31,본,,,AA,안정적,원화/외화,2021.06.25,S,Issuer Rating
한국토지신탁,2020.12.31,정기,A,안정적,A,안정적,원화/외화,2021.06.25,S,Issuer Rating
대신저축은행,2020.12.31,본,,,A-,안정적,원화/외화,2021.06.24,S,Issuer Rating
메리츠캐피탈,2020.12.31,본,,,A+,안정적,원화/외화,2021.06.24,S,Issuer Rating
