회사명,종류,회차,발행액(억원),만기일,평가종류,직전등급,현재등급,평가일,리포트,Type
뉴스타와니제삼차,ABCP,3,330,,본,,A2 (sf),2021.07.20,S,자산유동화증권
랜드마크경산제이차,ABSTB,3-3,400,,본,,A3 (sf),2021.07.20,S,자산유동화증권
비케이베스트제10차,ABCP,1,2000,,본,,A1 (sf),2021.07.20,S,자산유동화증권
비케이베스트제10차,ABS,1(사모사채),3.47,,본,,AAA (sf),2021.07.20,S,자산유동화증권
비케이베스트제9차,ABCP,3,2000,,본,,A1 (sf),2021.07.20,S,자산유동화증권
비케이베스트제9차,ABS,3(사모사채),3.47,,본,,AAA (sf),2021.07.20,S,자산유동화증권
산업기반신보제이십오차유동화전문,ABS,1,2945.4,2041.07.07,정기,AAA (sf),AAA (sf),2021.07.20,S,자산유동화증권
에스와이선화,ABSTB,46,640,,정기,A1 (sf),A1 (sf),2021.07.20,S,자산유동화증권
제이비우리캐피탈오토제이십이차유동화전문,ABS,1-4,60,2021.08.19,수시,AAA (sf),WR,2021.07.20,S,자산유동화증권
카바시크제오차,ABSTB,9,30,,정기,A1 (sf),A1 (sf),2021.07.20,S,자산유동화증권
카바시크제칠차,ABSTB,9,60,,정기,A1 (sf),A1 (sf),2021.07.20,S,자산유동화증권
티월드제사십오차유동화전문,ABS,1-7,80,2021.09.19,수시,AAA (sf),WR,2021.07.20,S,자산유동화증권
효성캐피탈제이십팔차유동화전문,ABS,1-7,100,2021.11.17,수시,AAA (sf),WR,2021.07.20,S,자산유동화증권
니드원제사차,ABCP,1,100,,본,,A1 (sf),2021.07.19,S,자산유동화증권
데메테르제일차,ABSTB,5,3269,,본,,A1 (sf),2021.07.19,S,자산유동화증권
에코코알라,ABSTB,1,810,,본,,A2+ (sf),2021.07.19,S,자산유동화증권
에코코알라,ABCP,2,810,,본,,A2+ (sf),2021.07.19,S,자산유동화증권
와이케이서초제일차,ABSTB,9,100,,본,,A1 (sf),2021.07.19,S,자산유동화증권
제이유제사차,ABSTB,4,15,,본,,A1 (sf),2021.07.19,S,자산유동화증권
지아이비엘제일차,ABSTB,30,634.9,,본,,A2+ (sf),2021.07.19,S,자산유동화증권
크레테유제일차,ABSTB,9,400,,본,,A1 (sf),2021.07.19,S,자산유동화증권
뉴테란제육차,ABSTB,5,85,,본,,A2- (sf),2021.07.16,S,자산유동화증권
디비벨제일차,ABSTB,4,60,,수시,A1 (sf),A1 (sf),2021.07.16,S,자산유동화증권
블루다이아제육차,ABSTB,8,600,,정기,A1 (sf),A1 (sf),2021.07.16,S,자산유동화증권
쥐피에스21제십차,ABSTB,9,160,,본,,A1 (sf),2021.07.16,S,자산유동화증권
지아이비솔루션제일차,ABSTB,14,661.94,,본,,A1 (sf),2021.07.16,S,자산유동화증권
케이에스포항제일차,ABSTB,9,20,,본,,A1 (sf),2021.07.16,S,자산유동화증권
케이티비케이피제일차,ABSTB,3,100,,본,,A2- (sf),2021.07.16,S,자산유동화증권
티와이제일차,ABCP,20,303,,정기,A1 (sf),A1 (sf),2021.07.16,S,자산유동화증권
핸드바이핸드,ABSTB,4,300,,본,,A3+ (sf),2021.07.16,S,자산유동화증권
화이트우드제십차,ABSTB,1,1500,,본,,A2 (sf),2021.07.16,S,자산유동화증권
덕수궁가온누리제이차,ABSTB,3,18,,본,,A1 (sf),2021.07.15,S,자산유동화증권
비케이에이스제십칠차,ABSTB,45,87,,본,,A1 (sf),2021.07.15,S,자산유동화증권
비티에스제일차,ABSTB,12,120,,수시,,A1 (sf),2021.07.15,S,자산유동화증권
사우스레이크제일차,ABSTB,8-2,168,,본,,A1 (sf),2021.07.15,S,자산유동화증권
사우스레이크제일차,ABCP,8-3,168,,본,,A1 (sf),2021.07.15,S,자산유동화증권
에이블루제이차,ABSTB,9,130,,본,,A1 (sf),2021.07.15,S,자산유동화증권
엠에스스마트,ABSTB,32,180,,수시,,A1 (sf),2021.07.15,S,자산유동화증권
케이아이에스대체제십오차,ABSTB,9,30,,본,,A1 (sf),2021.07.15,S,자산유동화증권
트루프랜드경산제육차,ABCP,7,530,,본,,A1 (sf),2021.07.15,S,자산유동화증권
티더블유광천제일차,ABSTB,4,180,,본,,A1 (sf),2021.07.15,S,자산유동화증권
프로젝트월산,ABSTB,1-6,40,,본,,A1 (sf),2021.07.15,S,자산유동화증권
프로젝트월산,ABCP,2-2,80,,본,,A1 (sf),2021.07.15,S,자산유동화증권
광화문제이차,ABSTB,17-1,60,,본,,A3- (sf),2021.07.14,S,자산유동화증권
글로에스본동,ABCP,2,500,,본,,A1 (sf),2021.07.14,S,자산유동화증권
글로에스본동,ABSTB,9,500,,본,,A1 (sf),2021.07.14,S,자산유동화증권
뉴마레제구차,ABS,1(사모사채),2.5,,본,,AAA (sf),2021.07.14,S,자산유동화증권
뉴마레제구차,ABCP,1-1,580,,본,,A1 (sf),2021.07.14,S,자산유동화증권
대구본동제일차,ABSTB,9,600,,본,,A1 (sf),2021.07.14,S,자산유동화증권
산업기반신보제구차유동화전문,ABS,1,945,2039.12.24,정기,AAA (sf),AAA (sf),2021.07.14,S,자산유동화증권
아이리스제오차,ABSTB,10,506,,본,,A1 (sf),2021.07.14,S,자산유동화증권
아이비고덕제일차,ABSTB,9,200,,본,,A1 (sf),2021.07.14,S,자산유동화증권
에이블피티제일차,ABSTB,9,100,,본,,A1 (sf),2021.07.14,S,자산유동화증권
에이치디비에이,ABS,4(사모사채),361,,본,,AA- (sf),2021.07.14,S,자산유동화증권
에이치디비에이제일차,ABS,1(사모사채),100,,본,,AA- (sf),2021.07.14,S,자산유동화증권
에이치케이제이제일차,ABSTB,5,1350,,본,,A2 (sf),2021.07.14,S,자산유동화증권
엠에이에스속초,ABSTB,2,930,,본,,A2+ (sf),2021.07.14,S,자산유동화증권
오아시스제일차,ABCP,1,2450,,본,,A1 (sf),2021.07.14,S,자산유동화증권
오아시스제일차,ABS,1(사모사채),4,,본,,AAA (sf),2021.07.14,S,자산유동화증권
유보라제일차,ABSTB,9,30,,본,,A1 (sf),2021.07.14,S,자산유동화증권
지디포프로젝트원유동화전문,ABS,1(사모사채),1100,,본,,AAA (sf),2021.07.14,S,자산유동화증권
청주고속디투,ABSTB,9,400,,본,,A1 (sf),2021.07.14,S,자산유동화증권
청주고속비원,ABSTB,9,590,,본,,A1 (sf),2021.07.14,S,자산유동화증권
청주고속에이원,ABSTB,9,690,,본,,A1 (sf),2021.07.14,S,자산유동화증권
청주고속에이투,ABSTB,9-2,220,,본,,A1 (sf),2021.07.14,S,자산유동화증권
케이브이엠제사차,ABSTB,21,80,,정기,A1 (sf),A1 (sf),2021.07.14,S,자산유동화증권
케이브이엠제오차,ABSTB,21,10,,정기,A1 (sf),A1 (sf),2021.07.14,S,자산유동화증권
케이브이엠제일차,ABCP,21,1260,,정기,A1 (sf),A1 (sf),2021.07.14,S,자산유동화증권
플랜업유로제일차,ABSTB,9,236,,정기,A1 (sf),A1 (sf),2021.07.14,S,자산유동화증권
피케이일차,ABSTB,6,166,,본,,A2- (sf),2021.07.14,S,자산유동화증권
피티프리미엄제일차,ABSTB,9,200,,본,,A1 (sf),2021.07.14,S,자산유동화증권
하이원당제일차,ABSTB,4,140,,본,,A1 (sf),2021.07.14,S,자산유동화증권
로지스라이온즈파크제일차,ABSTB,4,100,,본,,A1 (sf),2021.07.13,S R,자산유동화증권
비케이베스트제9차,ABCP,2,2450,,본,,A1 (sf),2021.07.13,S,자산유동화증권
비케이베스트제9차,ABS,2(사모사채),4.06,,본,,AAA (sf),2021.07.13,S,자산유동화증권
비케이에이스제십사차,ABSTB,12,258,,본,,A2- (sf),2021.07.13,S,자산유동화증권
써머레인제일차,ABCP,1-1,2450,,본,,A1 (sf),2021.07.13,S,자산유동화증권
써머레인제일차,ABS,1-2(사모사채),4.1,,본,,AAA (sf),2021.07.13,S,자산유동화증권
에코로투스,ABCP,2,360,,본,,A2 (sf),2021.07.13,S,자산유동화증권
와이클라스제일차,ABSTB,9,315,,수시,A1 (sf),A1 (sf),2021.07.13,S,자산유동화증권
파라다이스영종제사차,ABCP,20,500,,정기,A1 (sf),A1 (sf),2021.07.13,S,자산유동화증권
파라다이스영종제이차,ABSTB,20,200,,정기,A1 (sf),A1 (sf),2021.07.13,S,자산유동화증권
파라다이스영종제일차,ABSTB,20,500,,정기,A1 (sf),A1 (sf),2021.07.13,S,자산유동화증권
히어로즈브이원제오차,ABSTB,9,1000,,수시,A1 (sf),A1 (sf),2021.07.13,S,자산유동화증권
바바리안스카이코리아제4차유동화전문,ABS,1-9,100,,본,,AAA (sf),2021.07.12,S,자산유동화증권
부전마산비티엘,ABCP,24,5800,,본,,A1 (sf),2021.07.12,S,자산유동화증권
브라이트스타제오차,ABSTB,9,450,,본,,A1 (sf),2021.07.12,S R,자산유동화증권
에스제이그레이트제십차,ABS,1(사모사채),500,,본,,A+ (sf),2021.07.12,S R,자산유동화증권
엠스퀘어클라우드,ABCP,7,1680,,수시,A1 (sf),A1 (sf),2021.07.12,S,자산유동화증권
오토피아제육십오차유동화전문,ABS,1-9,150,2021.10.18,정기,AAA (sf),AAA (sf),2021.07.12,S,자산유동화증권
이너피스제십차,ABCP,3,1500,,본,,A1 (sf),2021.07.12,S,자산유동화증권
이너피스제십차,ABS,3(사모사채),2.9,,본,,AA+ (sf),2021.07.12,S,자산유동화증권
인터그레이트제삼차,ABSTB,2,300,,본,,A3 (sf),2021.07.12,S,자산유동화증권
쥐피아이제십사차,ABSTB,1-6,173,,본,,A1 (sf),2021.07.12,S,자산유동화증권
거북섬오션웨이브제일차,ABSTB,8,30,,본,,A1 (sf),2021.07.09,S R,자산유동화증권
나이스파동제일차,ABSTB,9,400,,본,,A1 (sf),2021.07.09,S,자산유동화증권
나이스향동제일차,ABSTB,9,360,,본,,A1 (sf),2021.07.09,S R,자산유동화증권
와이케이수원7제일차,ABSTB,9,185,,정기,A1 (sf),A1 (sf),2021.07.09,S,자산유동화증권
퀀텀점프제일차,ABCP,9,100,,정기,A1 (sf),A1 (sf),2021.07.09,S,자산유동화증권
뉴마레제칠차,ABS,1(사모사채),5.1,,본,,AAA (sf),2021.07.08,S,자산유동화증권
뉴마레제칠차,ABCP,1-1,1150,,본,,A1 (sf),2021.07.08,S,자산유동화증권
뉴살라시아제이차,ABSTB,33,62,,본,,A2+ (sf),2021.07.08,S,자산유동화증권
베스트디와이제사차,ABSTB,9,500,,본,,A1 (sf),2021.07.08,S,자산유동화증권
베스트디와이제삼차,ABSTB,9,1350,,본,,A1 (sf),2021.07.08,S R,자산유동화증권
비케이에이스제십칠차,ABSTB,44,48,,본,,A1 (sf),2021.07.08,S,자산유동화증권
비케이퍼스트제일차,ABSTB,9,100,,정기,A1 (sf),A1 (sf),2021.07.08,S,자산유동화증권
와이지천안제일차,ABSTB,8,10,,본,,A1 (sf),2021.07.08,S R,자산유동화증권
유승퍼스트파크,ABCP,9,950,,정기,A1 (sf),A1 (sf),2021.07.08,S,자산유동화증권
인트그린제이차,ABSTB,6,150,,본,,A1 (sf),2021.07.08,S R,자산유동화증권
제이온천안,ABSTB,2,32,,본,,A2- (sf),2021.07.08,S,자산유동화증권
지아이비에이치에스제사차,ABSTB,4,300,,본,,A3+ (sf),2021.07.08,S,자산유동화증권
컬티베이션제일차,ABSTB,8,164,,본,,A2- (sf),2021.07.08,S,자산유동화증권
