회사명,시리즈,유형,공여기관,한도액(억원),약정만료일,평가종류,직전등급,현재등급,평가일,리포트,Type
바바리안스카이코리아제4차유동화전문,,신용공여,농협은행,200.0,2024.10.20,본,,AAA (sf),2021.07.12,S,유동화익스포져
유승퍼스트파크,,유동성 및 신용공여,수협은행,200.0,2023.03.31,정기,AAA (sf),AAA (sf),2021.07.08,S,유동화익스포져
리디파인여수죽림,,유동성 및 신용공여,신한은행,300.0,2022.01.22,정기,AA- (sf),AA- (sf),2021.07.01,S,유동화익스포져
리치게이트대명,,유동성 및 신용공여,중소기업은행,400.0,2023.11.02,정기,AAA (sf),AAA (sf),2021.07.01,S,유동화익스포져
2019제2차스케일업유동화전문,,신용공여,한국산업은행,989.0,2022.12.19,정기,A- (sf),A- (sf),2021.06.30,S,유동화익스포져
오시리아파크제이차,,유동성 및 신용공여,"국민은행,농협은행",250.0,2022.07.01,본,AA (sf),AA (sf),2021.06.30,S,유동화익스포져
신보2021제13차유동화전문,,신용공여,농협은행,1187.9413,2023.07.09,수시,AAA (sf),AAA (sf),2021.06.23,S,유동화익스포져
불두제일차,,유동성 및 신용공여,중소기업은행,648.0,2024.04.01,정기,AA- (sf),AA- (sf),2021.06.21,S,유동화익스포져
써니금융제십차,,유동성 및 신용공여,신한은행,300.0,2022.04.05,정기,A (sf),A (sf),2021.06.21,S,유동화익스포져
티월드제육십오차유동화전문,,신용공여,신한은행,80.0,2025.12.30,본,,AAA (sf),2021.06.21,S,유동화익스포져
퍼스트파이브지제오십칠차유동화전문,,신용공여,우리은행,82.8,2026.01.30,본,,AAA (sf),2021.06.21,S,유동화익스포져
신보2021제13차유동화전문,,신용공여,농협은행,1208.4803,2023.07.09,본,,AAA (sf),2021.06.17,S,유동화익스포져
2019기보제삼차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,16.46051802,2021.12.08,정기,AAA (sf),AAA (sf),2021.06.16,S,유동화익스포져
신보2019제12차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,1536.1523,2021.12.09,정기,AAA (sf),AAA (sf),2021.06.16,S,유동화익스포져
엔에이치판교아이스퀘어제이차,,유동성 및 신용공여,농협은행,847.0,2024.09.19,본,,AA (sf),2021.06.16,S,유동화익스포져
제이비우리캐피탈오토제이십삼차유동화전문,,신용공여,농협은행,100.0,2025.06.24,본,,AAA (sf),2021.06.16,S,유동화익스포져
하나디스플레이제일차,,유동성 및 신용공여,하나은행,2000.0,2023.03.27,정기,A+ (sf),A+ (sf),2021.06.11,S,유동화익스포져
에이스오토인베스트제사십팔차유동화전문,,신용공여,우리은행,440.0,2022.03.14,정기,AAA (sf),AAA (sf),2021.06.04,S,유동화익스포져
리치게이트학익,,유동성공여,신한은행,4.0,2025.04.28,본,,AAA (sf),2021.05.28,S,유동화익스포져
에이치이제일차,,유동성 및 신용공여,우리은행,400.0,2024.02.01,수시,AA- (sf),A+ (sf),2021.05.28,S,유동화익스포져
오시리아파크제일차,,유동성 및 신용공여,농협은행,929.5,2024.08.30,본,,AA- (sf),2021.05.28,S,유동화익스포져
유플러스파이브지제오십칠차유동화전문,,신용공여,신한은행,22.0,2026.01.08,본,,AAA (sf),2021.05.28,S,유동화익스포져
수원랜드마크제사차,,유동성공여,신한은행,4.0,2024.11.28,본,,AA (sf),2021.05.27,S,유동화익스포져
수원랜드마크제오차,,유동성 및 신용공여,농협은행,502.0,2024.05.28,본,,AA (sf),2021.05.27,S,유동화익스포져
제이티캐피탈제칠차유동화전문,,유동성 및 신용공여,국민은행,298.0,2041.05.27,본,,AA+ (sf),2021.05.26,S,유동화익스포져
2021기보제일차유동화전문,,신용공여,중소기업은행,477.8695,2023.12.08,수시,AAA (sf),AAA (sf),2021.05.21,S,유동화익스포져
신보2021제10차유동화전문,국민은행이 제공하는 신용공여,신용공여,국민은행,1476.957,2023.06.07,수시,AAA (sf),AAA (sf),2021.05.21,S,유동화익스포져
신보2021제9차유동화전문,국민은행이 제공하는 신용공여,신용공여,국민은행,1083.571,2024.06.07,수시,AAA (sf),AAA (sf),2021.05.21,S,유동화익스포져
티월드제육십사차유동화전문,,신용공여,신한은행,60.0,2024.11.30,본,,AAA (sf),2021.05.20,S,유동화익스포져
2021기보제일차유동화전문,,신용공여,중소기업은행,486.2941,2023.12.08,본,,AAA (sf),2021.05.18,S,유동화익스포져
