회사명,프로그램,회차,발행액(억원),발행일,만기일,평가종류,직전등급,현재등급,평가일,리포트,Type
신한은행,2019-2,2019-2,3000,2019.12.20,2024.12.20,정기,AAA,AAA,2021.04.23,S,Covered Bond
우리은행,2019-1,2019-1,3000,2019.12.02,2024.12.02,정기,AAA,AAA,2021.04.23,S,Covered Bond
국민은행,2019-7,2019-7,600,2019.12.10,2024.12.10,정기,AAA,AAA,2021.03.09,S,Covered Bond
국민은행,2019-6,2019-6,1100,2019.09.24,2024.09.24,정기,AAA,AAA,2020.11.12,S,Covered Bond
우리은행,2020-2,2020-2,3000,2020.08.20,2025.08.20,본,,AAA,2020.08.20,S R,Covered Bond
우리은행,2020-1,2020-1,2000,2020.05.12,2025.05.12,본,,AAA,2020.05.12,S,Covered Bond
신한은행,2019-2,2019-2,3000,2019.12.20,2024.12.20,본,,AAA,2019.12.20,S R,Covered Bond
국민은행,2019-7,2019-7,600,2019.12.10,2024.12.10,본,,AAA,2019.12.10,S R,Covered Bond
우리은행,2019-1,2019-1,3000,2019.12.02,2024.12.02,본,,AAA,2019.12.02,S R,Covered Bond
신한은행,2019-1,2019-1,2000,2019.10.10,2024.10.10,본,,AAA,2019.10.10,S R,Covered Bond
국민은행,2019-6,2019-6,1100,2019.09.24,2024.09.24,본,,AAA,2019.09.24,S R,Covered Bond
국민은행,2019-5,2019-5,1500,2019.09.03,2024.09.03,본,,AAA,2019.09.03,S R,Covered Bond
국민은행,2019-4-1/2019-4-2,2019-4-2,2000,2019.08.14,2026.08.14,본,,AAA,2019.08.14,S R,Covered Bond
국민은행,2019-3,2019-3,4000,2019.07.23,2024.07.23,본,,AAA,2019.07.23,S R,Covered Bond
국민은행,2019-2,2019-2,4000,2019.06.25,2024.06.25,본,,AAA,2019.06.25,S R,Covered Bond
국민은행,2019-1-1/2019-1-2,2019-1-2,1000,2019.05.14,2026.05.14,본,,AAA,2019.05.14,S R,Covered Bond
