기업명,회차,종류,평정,직전등급,직전전망,현재등급,현재전망,등급결정일,등급확정일,발행액(억원),요지,재무,보고서,Type
농협은행(주),2021-07 외 선순위 무보증사채,SB,본,,,AAA,Stable,2021.07.19,2021.07.20,,,,,채권
산은캐피탈(주),제671회 외,SB,본,,,AA-,Stable,2021.07.20,2021.07.20,,,,,채권
위너콤(주),1,SB,본,,,BB,Stable,2021.07.19,2021.07.20,,,,,채권
하나금융투자(주),제 7-2회 무보증사채,SB,본,,,AA,Stable,2021.07.20,2021.07.20,1300,,,,채권
메리츠증권(주),제193회 외 주가연계파생결합사채(ELB),ELB,본,,,AA-,Stable,2021.07.19,2021.07.19,,,,,채권
메리츠증권(주),제238회 외 기타파생결합사채(DLB),DLB,본,,,AA-,Stable,2021.07.19,2021.07.19,,,,,채권
삼성증권(주),제1720회 외 주가연계파생결합사채,ELB,본,,,AA+,Stable,2021.07.19,2021.07.19,,,,,채권
삼성증권(주),제959회 외 기타파생결합사채,DLB,본,,,AA+,Stable,2021.07.19,2021.07.19,,,,,채권
에스케이에코플랜트(주),제168-2회,SB,본,,,A-,Stable,2021.07.16,2021.07.19,1000,,,,채권
우리금융캐피탈(주),제 422회 외,SB,본,,,AA-,Stable,2021.07.19,2021.07.19,,,,,채권
(주)위니아딤채,제11회차,SB,수시,,,BB+,Stable,2021.07.16,2021.07.16,250,,,,채권
(주)이랜드리테일,"제122-1회(담보부, 한국자산관리공사 지급보증)",SB,본,,,AAA,Stable,2021.07.16,2021.07.16,320,,,,채권
평택에너지서비스(주),제6회,SB,본,,,A,Stable,2021.07.16,2021.07.16,400,,,,채권
(주)뉴스테이허브제1호위탁관리부동산투자회사,제1회 (주택도시보증공사 권면보증),SB,정기,AAA,Stable,AAA,Stable,2021.07.15,2021.07.15,1000,,,,채권
(주)마니커,제27회,SB,정기,BB,Negative,BB-,Stable,2021.07.14,2021.07.15,150,,,,채권
(주)마니커에프앤지,2,SB,정기,BB+,Stable,BB+,Stable,2021.07.14,2021.07.15,150,,,,채권
(주)정다운,1,SB,정기,BB,Stable,BB,Stable,2021.07.14,2021.07.15,100,,,,채권
(주)지에스리테일,제33회,SB,정기,AA,Stable,AA,Stable,2021.07.15,2021.07.15,1500,,,,채권
(주)토지지원리츠제1호위탁관리부동산투자회사,제2회 (주택도시보증공사 권면보증),SB,정기,AAA,Stable,AAA,Stable,2021.07.15,2021.07.15,700,,,,채권
(주)토지지원리츠제2호위탁관리부동산투자회사,제1-2회 (주택도시보증공사 권면보증),SB,정기,AAA,Stable,AAA,Stable,2021.07.15,2021.07.15,560,,,,채권
(주)팜스토리,제29회,SB,정기,BB+,Stable,BB+,Positive,2021.07.15,2021.07.15,300,,,,채권
롯데위탁관리부동산투자회사(주),제1회(담보부),SB,정기,AA-,Stable,AA-,Stable,2021.07.15,2021.07.15,1700,,,,채권
