기업명,평정,직전등급,현재등급,등급결정일,등급확정일,결산기준,유효기간,요지,재무,보고서,Type
에스케이에코플랜트(주),본,,A2-,2021.07.16,2021.07.19,2020.12.31,2022.06.30,,,,기업어음
에스케이디스커버리(주),본,,A2,2021.07.12,2021.07.13,2020.12.31,2022.06.30,,,,기업어음
넷마블에프앤씨(주)((주)신한은행 보증),본,,A1,2021.07.09,2021.07.09,2020.12.31,2022.06.30,,,,기업어음
(주)세아제강지주,본,,A2,2021.07.07,2021.07.07,2020.12.31,2022.06.30,,,,기업어음
(주)케이이씨((주)신한은행 보증),본,,A1,2021.07.05,2021.07.05,2020.12.31,2022.06.30,,,,기업어음
삼척블루파워(주),본,,A1,2021.07.02,2021.07.05,2020.12.31,2022.06.30,,,,기업어음
벽산페인트(주)((주)신한은행 보증),본,,A1,2021.07.02,2021.07.02,2020.12.31,2022.06.30,,,,기업어음
대동기어(주)((주)대동 보증),본,,A3,2021.07.01,2021.07.01,2020.12.31,2022.06.30,,,,기업어음
(사)한국무역협회,본,,A1,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(재)한국장학재단,본,,A1,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)대림,본,,A2+,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)신세계인터내셔날,본,,A2+,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)아모레퍼시픽,본,,A1,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)엘지하우시스,수시,A1,A2+,2021.06.29,2021.06.30,2020.12.31,2021.06.30,,,,기업어음
(주)우리카드,본,,A1,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)이랜드리테일,본,,A3+,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)제주대동((주)대동 보증),본,,A3,2021.06.30,2021.06.30,2020.12.31,2022.05.04,,,,기업어음
(주)제주대동((주)대동 보증),본,,A3,2021.06.30,2021.06.30,2020.12.31,2022.04.29,,,,기업어음
(주)조선호텔앤리조트,본,,A2-,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)케이티에스테이트,본,,A1,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)태영건설,본,,A2,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)호텔롯데,본,,A1,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
대한해운(주),본,,A3,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
롯데쇼핑(주),본,,A1,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
롯데컬처웍스(주),본,,A2,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
씨제이대한통운(주),본,,A1,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
씨제이포디플렉스(주),본,,A3-,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
에스케이렌터카(주),본,,A2,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
웰릭스캐피탈(주)(웰컴크레디라인대부(주) 보증),본,,A3,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
유진투자증권(주),본,,A2+,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
하나에프앤아이(주),본,,A2,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
한국조폐공사,본,,A1,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
한국증권금융(주),본,,A1,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
한국캐피탈(주),본,,A2,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(사)과학기술인공제회,본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)대동,본,,A3,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)바디프랜드,본,,A3+,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)이랜드월드,본,,A3,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)케이이씨((주)신한은행 보증),본,,A1,2021.06.29,2021.06.29,2020.12.31,2021.07.05,,,,기업어음
(주)코람코자산신탁,본,,A2,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)티에스케이코퍼레이션,본,,A2+,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)한국토지신탁,본,,A2,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
군인공제회,본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
대동기어(주)((주)대동 보증),본,,A3,2021.06.29,2021.06.29,2020.12.31,2021.07.23,,,,기업어음
대동기어(주)((주)대동 보증),본,,A3,2021.06.29,2021.06.29,2020.12.31,2021.11.04,,,,기업어음
대한석탄공사,본,,A1,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
롯데제과(주),본,,A1,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
롯데지알에스(주),본,,A2,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
롯데푸드(주),본,,A1,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
신한캐피탈(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
씨제이푸드빌(주),본,,A3,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
에스케이머티리얼즈(주),본,,A2+,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
엠캐피탈(주),본,,A2-,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
우리금융캐피탈(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
케이티비네트워크(주),본,,A3+,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
코리아신탁(주),본,,A3+,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
하이투자증권(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
한국가스공사,본,,A1,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
한국광물자원공사,본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
한국체인공업(주)((주)대동 보증),본,,A3,2021.06.29,2021.06.29,2020.12.31,2021.09.24,,,,기업어음
한국투자증권(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
한양증권(주),본,,A2,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
현대종합특수강(주),본,,A2-,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
화성산업(주),본,,A3-,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)부영주택,본,,A3+,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
롯데건설(주),본,,A2+,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
미래에셋증권(주),본,,A1,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
부국증권(주),본,,A2+,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
에스케이이노베이션(주),본,,A1,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
유안타증권(주),본,,A1,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
제이티비씨스포츠(주)(제이티비씨스튜디오(주) 보증),본,,A3,2021.06.28,2021.06.28,2020.12.31,2022.01.27,,,,기업어음
제이티비씨플러스(주)(제이티비씨스튜디오(주) 보증),본,,A3,2021.06.28,2021.06.28,2020.12.31,2022.01.27,,,,기업어음
케이비부동산신탁(주),본,,A2+,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
포스코에너지(주),본,,A1,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
한국중부발전(주),본,,A1,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
한솔피엔에스(주),본,,A3,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
현대차증권(주),본,,A1,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
흥국증권(주),본,,A3,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
(주)메리츠금융지주,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)케이비금융지주,본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)한섬,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)현대그린푸드,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)현대백화점,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)현대홈쇼핑,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
JB우리캐피탈(주),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
두산중공업(주),본,,A3-◆,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
롯데칠성음료(주),본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
벽산페인트(주)((주)신한은행 보증),본,,A1,2021.06.24,2021.06.25,2020.12.31,2021.07.05,,,,기업어음
삼성증권(주),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
앤알캐피탈대부(주)((주)리드코프 보증),본,,A3-,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
이베스트투자증권(주),본,,A2+,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
중소벤처기업진흥공단,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
청도유업(주)((주)신한은행 보증),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.03.24,,,,기업어음
한국지역난방공사,본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
한화종합화학(주),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
한화토탈(주),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
