기업명,평정,직전등급,현재등급,등급결정일,등급확정일,결산기준,발행한도(억원),유효기간,요지,재무,보고서,Type
(주)세아제강지주,본,,A2,2021.07.07,2021.07.07,2020.12.31,200,2022.06.30,,,,전자단기사채
(주)우리카드,본,,A1,2021.06.29,2021.06.30,2020.12.31,29000,2022.06.30,,,,전자단기사채
(주)이랜드리테일,본,,A3+,2021.06.29,2021.06.30,2020.12.31,1000,2022.06.30,,,,전자단기사채
(주)호텔롯데,본,,A1,2021.06.30,2021.06.30,2020.12.31,5000,2022.06.30,,,,전자단기사채
대한해운(주),본,,A3,2021.06.30,2021.06.30,2020.12.31,1000,2022.06.30,,,,전자단기사채
롯데쇼핑(주),본,,A1,2021.06.30,2021.06.30,2020.12.31,10000,2022.06.30,,,,전자단기사채
유진투자증권(주),본,,A2+,2021.06.29,2021.06.30,2020.12.31,4500,2022.06.30,,,,전자단기사채
한국증권금융(주),본,,A1,2021.06.29,2021.06.30,2020.12.31,20000,2022.06.30,,,,전자단기사채
(주)대동,본,,A3,2021.06.28,2021.06.29,2020.12.31,200,2022.06.30,,,,전자단기사채
(주)이랜드월드,본,,A3,2021.06.29,2021.06.29,2020.12.31,1500,2022.06.30,,,,전자단기사채
롯데지알에스(주),본,,A2,2021.06.28,2021.06.29,2020.12.31,250,2022.06.30,,,,전자단기사채
신한캐피탈(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,4000,2022.06.30,,,,전자단기사채
엠캐피탈(주),본,,A2-,2021.06.29,2021.06.29,2020.12.31,1000,2022.06.30,,,,전자단기사채
우리금융캐피탈(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,3000,2022.06.30,,,,전자단기사채
케이티비네트워크(주),본,,A3+,2021.06.28,2021.06.29,2020.12.31,150,2022.06.30,,,,전자단기사채
하이투자증권(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,10000,2022.06.30,,,,전자단기사채
한국가스공사,본,,A1,2021.06.28,2021.06.29,2020.12.31,50000,2022.06.30,,,,전자단기사채
한국투자증권(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,40000,2022.06.30,,,,전자단기사채
한양증권(주),본,,A2,2021.06.29,2021.06.29,2020.12.31,2000,2022.06.30,,,,전자단기사채
미래에셋증권(주),본,,A1,2021.06.28,2021.06.28,2020.12.31,30000,2022.06.30,,,,전자단기사채
