기업명,평정,직전등급,직전전망,현재등급,현재전망,등급결정일,등급확정일,유효기간,요지,재무,보고서,Type
(주)LF,정기,AA-,Stable,AA-,Stable,2021.07.13,2021.07.14,2021.12.05,,,,기업신용평가
동두천드림파워(주),본,,,A-,Stable,2021.07.12,2021.07.13,2022.07.13,,,,기업신용평가
신영부동산신탁(주),정기,BBB,Stable,BBB,Stable,2021.07.05,2021.07.05,2021.11.20,,,,기업신용평가
(주)포스코인터내셔널,정기,AA-,Stable,AA-,Stable,2021.06.30,2021.07.01,2022.07.17,,,,기업신용평가
(주)고려저축은행,본,,,A-,Stable,2021.06.29,2021.06.30,2022.06.30,,,,기업신용평가
(주)디비저축은행,정기,A-,Stable,A-,Stable,2021.06.29,2021.06.30,2021.10.23,,,,기업신용평가
(주)무궁화신탁,정기,BBB+,Stable,BBB+,Stable,2021.06.29,2021.06.30,2022.01.14,,,,기업신용평가
(주)엘지하우시스,정기,AA-,Negative,A+,Stable,2021.06.29,2021.06.30,2022.05.26,,,,기업신용평가
(주)예가람저축은행,본,,,BBB+,Stable,2021.06.29,2021.06.30,2022.06.30,,,,기업신용평가
(주)오에스비저축은행,본,,,BBB,Stable,2021.06.29,2021.06.30,2022.06.30,,,,기업신용평가
(주)전북은행,본,,,AA+,Stable,2021.06.30,2021.06.30,2022.06.30,,,,기업신용평가
(주)페퍼저축은행,본,,,BBB,Stable,2021.06.29,2021.06.30,2022.06.30,,,,기업신용평가
(주)한화저축은행,본,,,A-,Stable,2021.06.29,2021.06.30,2022.06.30,,,,기업신용평가
롯데렌탈(주),정기,AA-,Negative,AA-,Negative,2021.06.29,2021.06.30,2022.05.31,,,,기업신용평가
롯데쇼핑(주),정기,AA,Negative,AA,Negative,2021.06.30,2021.06.30,2043.11.08,,,,기업신용평가
씨제이대한통운(주),정기,AA-,Stable,AA-,Stable,2021.06.30,2021.06.30,2023.09.12,,,,기업신용평가
에이프로젠제약(주),정기,B-,Positive,B-,Stable,2021.06.29,2021.06.30,2022.07.04,,,,기업신용평가
우리자산신탁(주),본,,,A-,Stable,2021.06.29,2021.06.30,2022.06.30,,,,기업신용평가
웰컴저축은행(주),본,,,BBB+,Stable,2021.06.29,2021.06.30,2022.06.30,,,,기업신용평가
유안타저축은행(주),본,,,BBB,Stable,2021.06.29,2021.06.30,2022.06.30,,,,기업신용평가
화이트코리아(주),본,,,B+,Stable,2021.06.30,2021.06.30,2022.06.30,,,,기업신용평가
(주)JB금융지주,본,,,AA+,Stable,2021.06.28,2021.06.29,2022.06.29,,,,기업신용평가
(주)신세계푸드,정기,A+,Stable,A+,Stable,2021.06.29,2021.06.29,2021.12.30,,,,기업신용평가
(주)애큐온저축은행,본,,,BBB,Stable,2021.06.28,2021.06.29,2022.06.29,,,,기업신용평가
(주)에스비아이저축은행,정기,A-,Stable,A-,Positive,2021.06.28,2021.06.29,2021.09.18,,,,기업신용평가
(주)코람코자산신탁,본,,,A,Stable,2021.06.28,2021.06.29,2022.06.29,,,,기업신용평가
롯데푸드(주),정기,AA,Stable,AA,Stable,2021.06.28,2021.06.29,2022.04.12,,,,기업신용평가
상호저축은행중앙회,정기,AA+,Stable,AA+,Stable,2021.06.28,2021.06.29,2021.11.30,,,,기업신용평가
에스케이하이닉스(주),정기,AA,Negative,AA,Stable,2021.06.28,2021.06.29,2023.02.19,,,,기업신용평가
코리아신탁(주),정기,BBB+,Stable,BBB+,Stable,2021.06.28,2021.06.29,2022.02.03,,,,기업신용평가
하이투자증권(주),본,,,A+,Stable,2021.06.29,2021.06.29,2022.06.29,,,,기업신용평가
(주)호텔신라,정기,AA-,Stable,AA-,Stable,2021.06.25,2021.06.28,2024.05.29,,,,기업신용평가
유안타증권(주),본,,,A+,Positive,2021.06.28,2021.06.28,2022.06.28,,,,기업신용평가
지에스이피에스(주),정기,AA-,Stable,AA-,Stable,2021.06.25,2021.06.28,2022.02.22,,,,기업신용평가
포스코에너지(주),정기,AA-,Stable,AA-,Stable,2021.06.25,2021.06.28,2043.08.29,,,,기업신용평가
한국남동발전(주),정기,AAA,Stable,AAA,Stable,2021.06.28,2021.06.28,2034.12.15,,,,기업신용평가
(주)광주은행,본,,,AA+,Stable,2021.06.25,2021.06.25,2022.06.25,,,,기업신용평가
두산중공업(주),정기,BBB-◆,,BBB-◆,,2021.06.25,2021.06.25,2022.05.04,,,,기업신용평가
롯데칠성음료(주),정기,AA,Stable,AA,Stable,2021.06.24,2021.06.25,2024.04.21,,,,기업신용평가
