회사명,회차,종류,평정,직전등급,현재등급,등급결정일,등급확정일,발행일,만기일,발행액(억원),요지,보고서,Type
(주)한국스탠다드차타드은행,오조이천억원 역내 이중상환청구권부채권 프로그램 제2021-2회,Covered Bond,본,,AAA,2021.07.08,2021.07.08,2021.07.08,2026.07.08,2500,,,커버드본드
(주)한국스탠다드차타드은행,오조이천억원 역내 이중상환청구권부채권 프로그램 제2021-1회,Covered Bond,본,,AAA,2021.05.28,2021.05.28,2021.05.28,2026.05.28,1500,,,커버드본드
(주)한국스탠다드차타드은행,오조이천억원 역내 이중상환청구권부채권 프로그램 제2019-2회,Covered Bond,정기,AAA,AAA,2021.05.12,2021.05.12,2019.11.13,2024.11.13,1500,,,커버드본드
(주)한국스탠다드차타드은행,오조이천억원 역내 이중상환청구권부채권 프로그램 제2019-3회,Covered Bond,정기,AAA,AAA,2021.05.12,2021.05.12,2019.11.20,2024.11.20,1500,,,커버드본드
(주)신한은행(일십삼조원 역내 이중상환청구권부채권 프로그램),제2019-1회,Covered Bond,정기,AAA,AAA,2021.04.30,2021.04.30,2019.10.10,2024.10.10,2000,,,커버드본드
(주)신한은행(일십삼조원 역내 이중상환청구권부채권 프로그램),제2019-2회,Covered Bond,정기,AAA,AAA,2021.04.30,2021.04.30,2019.12.20,2024.12.20,3000,,,커버드본드
(주)우리은행(일십삼조원 역내 이중상환청구권부채권 프로그램1),제2019-1회,Covered Bond,정기,AAA,AAA,2021.03.25,2021.03.25,2019.12.02,2024.12.02,3000,,,커버드본드
등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,등록된 정보가 없습니다.,커버드본드
(주)한국스탠다드차타드은행,오조이천억원 역내 이중상환청구권부채권 프로그램 제2020-2회,Covered Bond,본,,AAA,2020.11.18,2020.11.18,2020.11.19,2025.11.19,1600,,,커버드본드
(주)한국스탠다드차타드은행,오조이천억원 역내 이중상환청구권부채권 프로그램 제2020-1회,Covered Bond,본,,AAA,2020.10.15,2020.10.15,2020.10.16,2025.10.16,2500,,,커버드본드
수협은행,일조육천억원 역내 이중상환청구권부채권 프로그램 수산금융채권(은행) 2020-3(이중상환),Covered Bond,본,,AAA,2020.09.24,2020.09.24,2020.09.25,2025.09.25,1100,,,커버드본드
수협은행,일조육천억원 역내 이중상환청구권부채권 프로그램 수산금융채권(은행) 2020-2(이중상환),Covered Bond,본,,AAA,2020.08.25,2020.08.25,2020.08.26,2025.08.26,1000,,,커버드본드
(주)우리은행,일십삼조원 역내 이중상환청구권부채권 프로그램 제2020-2회,Covered Bond,본,,AAA,2020.08.20,2020.08.20,2020.08.20,2025.08.20,3000,,,커버드본드
수협은행,일조육천억원 역내 이중상환청구권부채권 프로그램 수산금융채권(은행) 2020-1(이중상환),Covered Bond,본,,AAA,2020.07.17,2020.07.17,2020.07.20,2025.07.20,1100,,,커버드본드
(주)한국스탠다드차타드은행,오조이천억원 역내 이중상환청구권부채권 프로그램 제2019-1회,Covered Bond,정기,AAA,AAA,2020.07.15,2020.07.15,2019.06.27,2024.06.27,5000,,,커버드본드
(주)우리은행,일십삼조원 역내 이중상환청구권부채권 프로그램 제2020-1회,Covered Bond,본,,AAA,2020.05.11,2020.05.11,2020.05.12,2025.05.12,2000,,,커버드본드
(주)신한은행(일십삼조원 역내 이중상환청구권부채권 프로그램),제2019-2회,Covered Bond,본,,AAA,2019.12.19,2019.12.19,2019.12.20,2024.12.20,3000,,,커버드본드
(주)우리은행(일십삼조원 역내 이중상환청구권부채권 프로그램1),제2019-1회,Covered Bond,본,,AAA,2019.11.29,2019.11.29,2019.12.02,2024.12.02,3000,,,커버드본드
(주)한국스탠다드차타드은행,오조이천억원 역내 이중상환청구권부채권 프로그램 제2019-3회,Covered Bond,본,,AAA,2019.11.19,2019.11.19,2019.11.20,2024.11.20,1500,,,커버드본드
(주)한국스탠다드차타드은행,오조이천억원 역내 이중상환청구권부채권 프로그램 제2019-2회,Covered Bond,본,,AAA,2019.11.12,2019.11.12,2019.11.13,2024.11.13,1500,,,커버드본드
(주)신한은행(일십삼조원 역내 이중상환청구권부채권 프로그램),제2019-1회,Covered Bond,본,,AAA,2019.10.10,2019.10.10,2019.10.10,2024.10.10,2000,,,커버드본드
(주)한국스탠다드차타드은행,오조이천억원 역내 이중상환청구권부채권 프로그램 제2019-1회,Covered Bond,본,,AAA,2019.06.26,2019.06.26,2019.06.27,2024.06.27,5000,,,커버드본드
