date,kapital,title,pdf,href,summary
20210721,IBK투자증권,ETF를 활용한 바벨전략으로 불확실성 대응,1626832325815,https://finance.naver.com/research/debenture_read.nhn?nid=4585&page=1,"
델타 변이가 시장을 자극하는 중델타 변이 확산으로 금융시장에 전망 대한 엇갈린 시각이 존재한다. 유럽, 동남아 등 글로벌 코로나19 확산세가 이어진 가운데 전염성이 강한 델타 변이가 주류로 올라서고 있다. 경기 회복 둔화 우려 부각되면서 19일(현지시간) 미 증시가 급락했고, WTI는 수요 감소 우려에 7% 이상 하락했다. 일부 고점 부담에 따른 차익실현 욕구와 소비심리 위축, 안전자산 선호심리로 인한 미 국채 금리 하락세 지속 등으로 증시 변동성은 확대되는 중이다. 일각에서는 백신발 경제 정상화와 각국 완화적 통화 및 재정정책 연장 가능성에 무게를 두고 낙관론을 피력하고 있다. 
"
20210721,유안타증권,유안타 채권 Daily,1626832025256,https://finance.naver.com/research/debenture_read.nhn?nid=4584&page=1,"
한국토지신탁, 공모채 완판…등급 스플릿 한계 극복• 한국토지신탁이 1년 5개월만에 실시한 600억 회사채 수요예측에서 완판에 성공• 개별 민평수익률보다 2bp 높은 구간에서 목표액을 모두 확보하며 금리측면에서도만족스러운 결과를 얻어냄• 최근 위축된 A급 회사채 시장과 등급 스플릿(신평사간 등급 불일치) 등의 악재를이겨내고 얻어낸 결과물로서 등급 회복 기대감이 커지며 거둔 성과라는 평가
"
20210720,하나금융투자,신호와 소음,1626771479198,https://finance.naver.com/research/debenture_read.nhn?nid=4583&page=1,"
시장보다도 매파적이지 못한 한국은행- 지난주 채권시장은 그 전주말 중국의 지준율 인하, 코로나 확진자 급증세 지속 등으로 강세 출발하였다. 하지만 7월 금통위에서 기준금리 인상 소수의견이 확인되었고 총재가 금융불균형 문제해결 필요성을 재차 강조하면서 약세 전환했다. 8월 기준금리 인상가능성이 높아짐에 따라 단기금리는 급등한 반면 장기금리는 오히려 하락했다. 국고채 금리(10Y)는 전주대비 2bp 하락한 2.02%로 마감했다. - 신용스프레드는 약세흐름을 이어나갔다. 초우량 단기물 및 회사채 장기물이 상대적으로 강한 모습을 보였지만 여타 영역은 전반적으로 신용스프레드가 상승하였다. 최근 수요 예측의 특징 중 하나는 3년 이내 단기영역의 낙찰금리가 약하게 결정되는 반면에 5년 이상 영역에서는 강세가 유지되고 있는 점이다. 단기금리의 상승으로 단기신용채권의 금리메리트가 발생하고 있지만 지표물 금리의 변동성이 확대되자 쉽사리 접근하지 못하고 있는 것이다. 반면 장기물의 경우 상대적으로 하향안정세를 보이는 장기금리의 영향으로 접근성이 높아진 것으로 해석된다. 
"
20210719,유안타증권,유안타 채권 Daily,1626662747779,https://finance.naver.com/research/debenture_read.nhn?nid=4582&page=1,"
한국토지신탁, '금리 메리트' 공모채 완판 도전• 한국토지신탁은 600억 규모의 공모채에 대한 수요예측을 오는 19일 진행할 예정• 동사는 9월 17일 공모채 600억원의 만기가 도래하여 금번 조달자금은 전액 만기채 차환에 사용할 예정• 현재 한기평 'A-,안정적', 한신평 'A,안정적'등급 스플릿 상태이나 A-등급 대비한국토지신탁의 개별민평금리가 약 25bp의 금리 메리트가 존재
"
20210716,미래에셋증권,ETF 시장 동향,1626408048313,https://finance.naver.com/research/debenture_read.nhn?nid=4581&page=1,"
전주 대비 소폭 자금 유출. 리츠, 기술 섹터 자금 유입 - 미국 ETF 시장, -21.9억 달러로 소폭 자금 유출 - 유입 상위: 리츠(+7.2억 달러), 기술 섹터(+5.6억 달러), 모기지채(+4.1억 달러) 등 - 유출 상위: 대형그로스(-10.2억 달러), 원자재(-7.8억 달러) 등 
"
20210716,유안타증권,유안타 채권 Daily,1626400093751,https://finance.naver.com/research/debenture_read.nhn?nid=4580&page=1,"
아주산업, 애매한 A-등급…완판 가능할까• 아주그룹 계열 건자재 제조사인 아주산업(A-,안정적)이 1년 3개월만에 공모채 수요예측에 나설 예정• 아주산업은 3년 단일물 500억규모 증액시 최대 700억원의 회사채를 발행해 모집 자금 전액을 시멘트 매입에 투입할 예정• 업계에선 A- 등급의 애매한 포지션과 두드러지지 않는 금리 메리트를 거론하며 수요예측 흥행을 장담하기 어렵다는 전망
"
20210715,미래에셋증권,Global ETF Tracker,1626317899651,https://finance.naver.com/research/debenture_read.nhn?nid=4579&page=1,"
1) 신흥국 주식형 ETF 자금 유출 지속 선진국 주식형 ETF로 6.0억 달러 순유입되며 유입강도가 전주 대비 개선되었다. 신흥국 주식형 ETF에서는 10.4억 달러 유출되며 3주 연속 순유출을 기록했다. 신흥아시아 주식형 ETF에서 13.2억 달러가 유출된 영향이 컸는데 중국과 한국의 대형주지수를 추종하는 Huatai-PineBridge CSI 300 ETF, Samsung KODEX 200 ETF 에서 각각 2.3억 달러가 유출되었다. 한편, 신흥아시아 지역에서는 한국 ESG 테마 ETF의 유입강도가 강했는데 Samsung KODEX 200 ESG ETF(유입강도 91.9%), Mirae Asset TIGER MSCI Korea ESG Universal ETF(유입강도 31.2%)로 각각 1,796만 달러, 208만 달러가 순유입되었다.
"
20210715,유안타증권,유안타 채권 Daily,1626314057157,https://finance.naver.com/research/debenture_read.nhn?nid=4578&page=1,"
대웅제약, 2년만 공모채 완판…모집액 4배 웃돌아- 대웅제약이 2년만의 900억원 규모 공모채 복귀전에서 3400억원인 약 4배의 기관 수요를 확인- 대웅제약의 신용 리스크인 보툴리눔 톡신(보톡스) 제제 '나보타'의 미국 내 소송이 일단락된 것이 기관의 투자 심리를 자극한 것으로 분석됨- 3년 단일물의 절대금리가 2% 안팎에서 정해질 전망으로 회사채 금리 변동성이 심해지고 있는 상황에서 선방했다는 평가
"
20210708,이베스트증권,6월 FOMC 의사록: 새로운 재료는 부재,1625711907130,https://finance.naver.com/research/debenture_read.nhn?nid=4577&page=1,"
연준 위원들간 이견은 이미 선반영6월 FOMC 의사록에서는 통화정책 조정에 대한 연준 위원들 간의 의견 차이를 확인할 수 있었다. 여러(various) 위원들은 당초 예상보다 테이퍼링 전제조건을 빠르게 충족할 수도 있다고 예상(met somewhat earlier than they had anticipated at previous meetings in light of incoming data)한 반면, 일부(some) 위원들은 최근 데이터들이 근본적인 경제 모멘텀에 대한 명확하지 않은 시그널(less clear signal)을 주고 있다면서 향후 고용과 물가에 대한 추가 데이터 확인이 필요하다는 입장을 밝혔다. 테이퍼링의 전제조건은 연준 목표 달성에 있어 상당한 추가 진전(substantial further progress)이다. 연준이 지금까지 그 기준을 달성하지 못했으며 인내심을 가져야 함’을 강조했다는 점에서 결국 6월 FOMC에서도 테이퍼링 규모 및 일정에 대한 구체적 논의는 부재한 것으로 판단된다.
"
20210706,교보증권,6월 미국 고용지표에 대한 해석과 전망,1625540467067,https://finance.naver.com/research/debenture_read.nhn?nid=4575&page=1,"
6 월 미국 큰 폭 고용증가에도 실업률이 상승한 이유6 월 미국 비농업 부분 고용 85 만 명 큰 폭 증가에도 불구하고 실업률이 5.9%로 전월대비 +0.1%pt 상승. 이는 미국 고용시장으로 큰 폭의 경제활동인구 유입이 전개되었기 때문. 6 월 미국 경제 활동인구는 1 억 6,109 만 명, 실업자는 94.8 만 명으로 증가.
"
