date,kapital,title,pdf,href,summary
20210714,미래에셋증권,Global Fintech & Payment : Weekly Brief,1626230372318,https://finance.naver.com/research/industry_read.nhn?nid=30046&page=1,"카카오페이, 하나금융, 광주은행 등 6개사 마이데이터 본허가 (7월13일)- 7월13일 금융위는 정례회의 통해 마이데이터 허가 심사, 6개사에 본허가, 4개사에 예비허가를 내줌- 본허가를 받은 기업은 하나은행, 하나금융투자, 하나카드, 핀크, 카카오페이, 광주은행- 하나금융 계열사 4곳과 카카오페이는 대주주 적격성 문제가 해결되지 않아 예비허가부터 서비스 중단 등 어려움 겪어오다 상황 반전- 서비스 중단했던 자산관리서비스 등 마이데이터 유사서비스가 재개될 방침- 신규로 예비허가를 받은 곳은 키움증권, 현대차증권, 에프앤가이드, 유비밸록스 등"
20210714,교보증권,What's in My Bag: 필수템 찾기,1626229188835,https://finance.naver.com/research/industry_read.nhn?nid=30045&page=1,"눌려있는 화장품주, 변수는 리오프닝 시점화장품지수는 코로나19 첫 확산으로 증시가 급락했던 지난 3월대비 62% 상승했는데, 이는 코스피 대비 -60%, 경기소비재 대비 -72% 수준 하회하며 부진한 상황. 올해 누적 수익률 또한 10%에 불과해, 의류지수가 50% 상승했음을 감안하면 크게 언더퍼폼.화장품주가 부진한 이유는 해외고객향(수출+면세) 매출 비중이 크기 때문. 화장품주의 주요 변수는 ‘리오프닝 시점’. 1) 거리두기 완화 및 외부활동 정상화에 따라 반등의 폭이 클 것, 2)국내 화장품 소매판매의 40%를 차지하는 면세점이 백신 접종률 상승 및 여행 재개에 따라 회복할 것으로 판단하기 때문"
20210714,교보증권,건설/부동산 Weekly: 건설 가격 매력 재부각,1626229008434,https://finance.naver.com/research/industry_read.nhn?nid=30044&page=1,"건설/부동산 Weekly News- 첫 부동산 규제 철회 – 전셋값 폭등에 6∙17 부동산 대책의 주요 골자인 ‘재건축 조합원 2년 실거주 요건’ 백지화. 투기과열지구 내 재건축 조합원이 아파트 분양받으려면 해당 단지 2년 이상 실거주 하는 내용이었으나 개정안서 제외. (파이낸셜뉴스)- 수도권 공공주택 첫 사전청약 16일부터 시작. 인천 계양(1050채), 남양주 진접(1535채), 성남 복정(1026채) 등 5곳. (동아일보)- 7월 국회에서 과세 기준선 상위 2%로 규정하는 종부세법 개정안 통과 시 올해 1주택자 종부세 기준선은 시세 15.7억(부부 공동명의 시 17.1억)이 될 전망. (서울경제)- 서울시 민간재개발 한 달 앞당겨 9월 공모. 5년간 연 2.5만호 공급 목표로 세부절차 수립중. (파이낸셜뉴스)- 국토부, 상습 정체구간인 경부고속 동탄~강남 구간 지상도로 유지하고 하부에 지하도로 신설하는 입체화 방안 검토중. 사업비는 약 3조원 내외로 추정. (연합뉴스)"
20210714,하나금융투자,휴대폰/부품(Overweight): 6월 중국 스마트폰 출하량,1626228724523,https://finance.naver.com/research/industry_read.nhn?nid=30043&page=1," 6월 중국 스마트폰 출하량: 반도체 공급 부족으로 역시 부진, 6월은 반등 예상- 스마트폰 2,519만대(YoY -9%, MoM +11%), 핸드셋 2,566만대(YoY -10%, MoM +12%)- 중국 스마트폰 6월 출하량이 2,519만대로 전년동월대비 9% 감소전월대비로는 11% 증가했고, 코로나 이전인 18~19년 월 평균 출하량이 3천만대 초반이었던 점을 감안하면 여전히 낮은 수준. 다만, 반도체 공급 부족이 극심했던 4~5월을 지나며 출하량이 반등했고, 전년동월대비 감소폭도 10% 미만으로 축소돼- 6월에 출시된 스마트폰 신모델은 30개로 전월대비 43% 증가5G 신모델은 20개 출시되어 전월 10개에서 2배 증가618 쇼핑데이로 많은 신모델이 출시된 것으로 보여짐신모델 중에 5G의 비중은 3월과 5월을 제외하면 줄곧 60% 이상을 차지"
20210714,하나금융투자,섬유의복(Overweight): 2Q21 Pre: 2분기 실적 예상보다 좋을 듯,1626228558872,https://finance.naver.com/research/industry_read.nhn?nid=30042&page=1,"2분기 내수소비 긍정적소비 매크로 지표는 상당히 좋은 상황이다. 소비심리는 6월 110.3을 기록하며 2017년 12월(112.0) 이후 3년 7개월만에 최고치를 나타냈다. 백화점 의류판매 분위기도 좋은 것으로 파악된다. 4월 백화점 기존점 성장률은 전년동기대비 34.5%, 5월은 19.1% 성장하며 선전했다. 4~5월 백화점 성장은 고마진 패션/화장품 카테고리가 견인했다. 긍정적인 소비심리와 전월대비 높아진 의류비지출전망을 보았을 때 의류 소비 펀더멘탈은 양호한 상황이다. 계절적 의류판매 비수기 진입에도 불구, 전년도 낮은 베이스 및 긍정적인 소비심리 기반 2분기 의류 업체들 실적은 예상보다 좋을 수 있다."
20210714,IBK투자증권,IBKS Daily - 인터넷/게임,1626226728937,https://finance.naver.com/research/industry_read.nhn?nid=30041&page=1,"• 쿠팡에 맞불? 네이버 주도 '新물류 드림팀' 출격   스마트스토어 판매자 물류부담 줄 듯 주문 마감시간 연장…상품 배송기간 단축 NFA에는 패션과 냉동·냉장을 포함해 다양한 분야 전문역량을 갖춘 7개 업체(CJ대한통운, 아워박스, 위킵, 파스토, 품고, 딜리버드, 셀피)가 참여 판매자가 풀필먼트 서비스를 사용하면 포장, 배송, 재고 관리뿐 아니라 불량품 검수, 반품 처리, 사용자 CS 등 물류 전반에 대한 자원(리소스) 투입을 줄일 수 있다는 장점 풀필먼트 플랫폼 오픈을 통해 스마트스토어 판매자의 물류 부담을 줄이고 상품 배송 기간을 단축해 사용자 만족도까지 높아질 것으로 기대"
20210713,교보증권,금리 상승에도 FY21 2Q 견조한 실적 전망,1626155830205,https://finance.naver.com/research/industry_read.nhn?nid=30040&page=1,"2021년 2분기 실적 QoQ 4.1%↓, YoY 19.3%↓ 전망교보증권 Coverage 5개 증권사(미래에셋증권, NH투자증권, 한국금융지주, 삼성증권, 키움증권)의 2021년 2분기 당기순이익은 약1조2,198억원으로 전분기대비 4.1% 소폭 감소, 전년동기에 비해서도 19.3% 감소가 전망됨. 당기순이익이 전분기 및 전년동기대비 감소가 예상되는 이유는 시장금리 상승으로 인한 자기매매관련 운용이익이 전분기 및 전년동기대비 감소하는 기저효과가 예상되며, 전분기대비 국내 주식시장의 일평균 거래대금 감소와 해외주식 경쟁강화(수수료인하 및 거래량 감소 등)에 따른 위탁매매수익이 전분기대비 29.5% 줄 것이기 때문. "
20210713,미래에셋증권,Global Tech Daily Brief,1626155489511,https://finance.naver.com/research/industry_read.nhn?nid=30039&page=1,"① 애플 (전일 대비 -0.4%)- Apple TV+, 영화 파친코 윤여정의 젊은 시절 역할로 김민하 결정 - 최근 과열/기기중단 이슈로 인해 신규 HomePod 15 Beta 업데이트 실시 - Apple TV+, Foundation의 신규 트레일러 공개 - TrendForce, 글로벌 노트북 출하 증가에 따라 애플 수혜 지속 전망 - Gartner, 2Q21 북미 PC시장에서 애플 전년대비 +4.4% 증가하며 3위 기록 - 이르면 올 가을 새로운 디자인의 아이패드 미니 6 출시 전망 - 스티브 워즈니악, 소비자 수리권 보장해야 한다며 애플 AS정책 저격 - 차기 애플워치 시리즈7 터치ID 탑재 불투명 ② 인텔 (전일 대비 +1.3%) - 7월 26일 웹케스트를 통해 7nm 공정/패키징 기술 로드맵 업데이트 예정 - 웹 케스트는 CEO 펫겔싱어/Ann Kelleher가 진행 예정 - 펫겔싱어, 최근 프랑스 대통령, 이탈리아 총리 포함한 주요 EU 인사 만남 - EU 정부에 최대 1,000억달러 규모의 파운드리 투자 제안 - 3분기 노트북 부품 공급 부족이 심화될 것으로 전망 "
20210713,IBK투자증권,IBKS Daily - 인터넷/게임,1626146886152,https://finance.naver.com/research/industry_read.nhn?nid=30037&page=1,"• 아이디 하나로 끝...토스·네이버·카카오는 이미 ‘슈퍼앱’   9월께 첫선 토스뱅크, 기존 앱 마케팅 활용 상장 앞둔 카카오, 연내 주식거래 서비스도 비대면 채널확대 네이버, 결제액 56% 급증  은행들이 ‘원앱’으로 방향을 전환하고 있지만, 토스, 카카오페이, 그리고 네이버는 한발 더 앞서 ‘슈퍼앱’으로 진화 아이디 하나만 있으면 금융서비스는 물론 e커머스·예약·배달·음악·영화·게임 등 비즈니스 및 콘텐츠 영역까지 이용 토스, 카카오, 네이버의 앱은 각각 송금, 검색, 그리고 결제라는 특정한 서비스 목적을 가지고 시작했으나 이제는 자산관리, 대출, 보험, 결제 등 모든 금융생활이 가능할 만큼 많은 다양한 필수 기능을 제공"
20210712,하나금융투자,Let’s play with Display : 노트북 수요 강세 지속,1626059929927,https://finance.naver.com/research/industry_read.nhn?nid=30036&page=1,"패널 : 가격 상승세 중단- LCD 패널 가격 상승세가 중단되면서 지난 주 LG디스플레이 주가는 -7.2% 하락했다. TV 패널 가격은 75인치와 65인치 제외하고 모든 인치대 Flat 전환했다. 32인치와 43인치는 한달만의Flat 전환 이고, 50인치대는 1년만의 Flat 전환이다. 75인치와 65인치 역시 상승폭이 크게 축소되며 지난 1년간의 상승 기간 중 가장 낮은 폭 상승했다. IT 패널 가격은 상승세 유지됐으나 모든 인치대 상승폭이 축소됐다. - 중국 618 행사 TV 판매량 감소(온라인 채널 YoY -20%, 오프라인 채널 YoY -27%)에서 볼 수 있듯이 COVID-19 회복 국면에서 TV 세트 수요 둔화는 불가피할 것으로 판단된다. 이에 따라 하반기 패널 가격 상승폭 축소 및 소폭 하락 전환 가능성 높다고 판단된다. "
