date,kapital,title,pdf,href,summary
20210714,미래에셋증권,주식시장 리뷰와 미 증시 전망,1626230045547,https://finance.naver.com/research/market_info_read.nhn?nid=22475&page=1,"
미 증시, 금리 변화에 민감한 반응을 보이며 하락 - 미 증시는 1991년 이후 최고치를 기록한 근원 소비자 물가지수 발표 후 하락 했으나, 영향이 제한된 가운데 다우 지수를 제외하고 상승 전환에 성공 하기도 했음- 그러나 물가지표에 반응하지 않던 국채 금리가 30년물 국채 입찰 이후 급등하자 기술주 중심으로 매물이 출회되며 하락 전환 하는 등 변동성이 확대. 더불어 인프라투자 관련 불확실성이 높아진 점도 부담을 주며 하락 마감
"
20210714,교보증권,교보박스 브리핑,1626228888394,https://finance.naver.com/research/market_info_read.nhn?nid=22474&page=1,"
전일 주요국 증시 이슈∙미국 물가지표, 강한 인플레이션 압력 확인- 미국 6월 CPI MoM 0.9%, YoY 5.4% 상승하며 금융위기 이후 가장 높은 수준까지 상승. 예상치를 상회한 물가지표 발표에도 연준은 빠른 경제 회복에 따른 일시적 현상이라는 의견 유지. 미국채 10년물 금리는 전일대비 5bp 급등하여 1.4%대로 마감∙람다 변이 바이러스, 남미 중심으로 확산- 남미를 중심으로 람다 변이 바이러스 빠르게 확산. 람다 변이는 지난해 8월 페루에서 보고된 후 빠르게 퍼져 칠레, 아르헨티나를 포함한 29개국으로 확산. 아직은 WHO가 지정한 '우려 변이 바이러스'에 속하지 않지만, 치사율이 높고 전파력과 백신 저항력이 높을 가능성이 있어 우려
"
20210714,이베스트증권,eBest Quant Daily,1626226871839,https://finance.naver.com/research/market_info_read.nhn?nid=22473&page=1,"
1. 뉴욕 및 유럽 증시 시황<미국: 물가 우려에 하락세>- 다우 : 34,888.79(-0.31%) / S&P500 : 4,369.22(-0.35%) / 나스닥 : 14,677.65(-0.38%)- 6월 CPI는 +5.4% yoy를 기록하며 예상치(+4.9%)를 상회하였고, 6월 NFIB 소기업 낙관지수는 102.5를 기록하며 예상치(99.5) 상회- 금융업체 JP모건과 모건스탠리, 음료 업체 펩시코는 모두 예상치를 상회하는 매출액과 순이익 발표- 메리 데일리 샌프란시스코 연은 총재는 인플레이션 상승은 경제 재개 과정에서 나타난 일시적인 현상이라고 설명하고, 연준은 올해 말이나 내년 총 테이퍼링에 나설 수 있을 것이라고 전망- 제임스 불라드 세인트 루이스 연은 총재는 팬데믹이 통제되고 있는 상황이며 비상 조치를 축소할 시기가 왔다고 언급- 국제 에너지기구(IEA)가 수요가 반등하는 상황에서 단기적으로 타이트한 공급이 나타날 것이라고 전망하며 WTI유가는 전일대비 1.6% 상승한 75.25$/bbl을 기록- 6월 CPI가 예상치를 상회하며 인플레이션 우려가 커지고, 시장금리 상승과 긍정적인 실적 발표에도 금융주 주가가 약세를 보이면서 뉴욕 증시는 하락세로 마감
"
20210714,IBK투자증권,[Start with IBKS]KOSPI는 위험자산 선호 확대에 상승함,1626226653444,https://finance.naver.com/research/market_info_read.nhn?nid=22472&page=1,"
▶ KOSPI- KOSPI는 위험자산 선호 확대에 상승함. 미 증시 사상 최고치에 연동해 투자심리가 개선됨. 중국 수출입 지표 개선과 원/달러 환율 하락세로 외국인 수급 불안이 완화된 부분도 긍정적으로 작용. 전 거래일 대비 0.77% 상승한 3,271.38P로 마감 ▶ KOSDAQ- KOSDAQ은 외국인 순매수에 상승함. 중국 수출입 지표 개선과 원/달러 환율 하락세가 외국인 투자심리를 개선시킴. 2차전지 및 전기차 업종은 업황 개선 기대감 반영하며 상승함. 전 거래일 대비 0.84% 상승한 1,043.31P로 마감
"
20210714,유안타증권,다우지수는 전장대비...,1626226413871,https://finance.naver.com/research/market_info_read.nhn?nid=22471&page=1,"
							▶ 미국 증시다우지수는 전장대비 -107.39pt(-0.31%) 하락한 34,888.79pt에 마감. 6월 CPI가 전년대비 +5.4% 상승, 인플레이션 우려에 의해 하락 마감▶ 아시아 증시닛케이지수는 전장대비 +149.22pt(+0.52%) 상승한 28,718.24pt에 마감. 시장의 경기 둔화 우려 완화로 인해 투자 심리가 회복되며 상승 마감 상해지수는 전장대비 +18.69pt(+0.53%) 상승한 3,566.52pt에 마감. 중국 상반기 수출입총액이 전년대비 +27.1% 급증, 무역 지표 호조 발표에 상승 마감
"
20210713,미래에셋증권,주식시장 리뷰와 미 증시 전망,1626156071496,https://finance.naver.com/research/market_info_read.nhn?nid=22470&page=1,"
한국 증시 장중 리뷰 : 외국인 수급 개선에 강세- 한국 증시는 전일 미 증시에서 필라델피아 반도체 지수가 1.24% 상승하는 등 견고한 모습을 보인 데 힘입어 상승. 특히 미국 실적 시즌에 대한 기대 심리가 높아진 점도 우호적인 영향- 한편, 수급적으로도 예상보다 양호한 중국의 수출입 통계 등으로 경기에 대한 자신감이 유입되자 외국인이 현/선물 순매수 하는 등 긍정적인 영향. 업종별로는 증권, 보험, 통신 등이 상승 주도한 가운데 철강, 종이 목재가 부진.
"
20210713,미래에셋증권,글로벌 주식시장 변화와 전망,1626154842190,https://finance.naver.com/research/market_info_read.nhn?nid=22469&page=1,"
실적 시즌 기대와 우려 혼재 속 상승 지속- 미 증시는 본격적인 실적 시즌을 앞두고 보합권 출발한 가운데 금융주가 상승 주도. 특히 뉴욕 연은이 발표한 기대 인플레이션이 4.8%로 급증하자 국채 금리가 상승한 점도 금융주 강세 요인- 이후 큰 변화를 보이기 보다는 개별 변수에 따라 등락을 보이는 관망세가 짙은 양상. 대체로 중소형주가 부진하고 금융, 커뮤니케이션, 반도체 관련주가 강세.- 다우 +0.36%, 나스닥 +0.21%, S&P500 +0.35%, 러셀2000 +0.08%
"
20210713,교보증권,교보박스 브리핑,1626154346611,https://finance.naver.com/research/market_info_read.nhn?nid=22468&page=1,"
전일 주요국 증시 이슈∙미국 3대지수 사상최고치 재차 경신- 2분기 어닝시즌을 앞두고 미국 3대지수 사상최고치 경신했으나 상승 폭은 저조. 상승한 주요기업은 테슬라가 '완전자율주행(FSD)' 베타버전 9 업데이트를 시작했다는 소식에 4.38% 상승했으며, 디즈니는 블랙위도우 흥행과 ESPN+ 서비스 요금을 인상 발표로 4.15% 상승∙뉴욕 델타 변이 바이러스 확진자 급증- 지난주 일요일 기준, 뉴욕 내 신규 확진자 수는 전주대비 47% 급증. 미국 연방보건국은 얀센 백신 접종자로부터 '길랑-바레 증후군(Guillain-Barre syndrome)'이라는 부작용 사례를 발견했으며, 모니터링할 것이라 발표. 해당 증후군은 면역체계가 신경을 공격하는 희귀 급성 다발성 신경염이며, 1,280만명의 얀센 접종자 중 100건의 사례가 발견되었음
"
20210713,이베스트증권,eBest Quant Daily,1626153756607,https://finance.naver.com/research/market_info_read.nhn?nid=22467&page=1,"
1. 뉴욕 및 유럽 증시 시황<미국: 어닝 시즌 앞두고 상승세>- 다우 : 34,996.18(0.36%) / S&P500 : 4,384.63(0.35%) / 나스닥 : 14,733.24(0.21%)- 존 윌리엄스 뉴욕 연은 총재는 연주의 평균 2% 물가 상승률 목표제같은 연준의 정책 틀이 급격한 금리 인상으로 이어질 것이라는 우려는 잘못되었으며, 데이터에 따르면 오버 슈팅을 예상할 근거는 없다고 주장- 토마스 바킨 리치먼드 연은 총재는 테이퍼링에 나설 정도로 미국 고용시장이 충분히 회복되지 않았다고 평가- 달러화가 강세를 보이고 델타변이 확산 우려가 이어지며, WTI유가는 전일대비 0.6% 하락한 74.10$/bbl을 기록- 델타 변이 확산 우려와 경기 회복 둔화 가능성에 뉴욕 증시는 약세로 출발했지만, 어닝 시즌을 앞두고 S&P500 기업 2/4분기 순이익이 2009년 이후 가장 높은 65% yoy 증가할 것이라는 기대감에 뉴욕 증시는 상승세 전환에 성공
"
20210713,IBK투자증권,[Start with IBKS] KOSPI는 경제 지표 개선과 저가 매수세에 상승함,1626146573872,https://finance.naver.com/research/market_info_read.nhn?nid=22466&page=1,"
▶ KOSPI- KOSPI는 경제 지표 개선과 저가 매수세에 상승함. 7월 1~10일 수출 지표 개선 소식과 중국의 지준율 인하로 위험 자산 선호 심리 회복하면서 저가 매수세가 유입. 미 연준의 통화정책보고서에서 언급된 경기 회복 기대 내용도 강세 요인으로 작용함. 전 거래일 대비 0.89% 상승한 3,246.47P로 마감 ▶ KOSDAQ- KOSDAQ은 개인의 저가 매수세에 상승함. 7월 1~10일 수출 지표 개선 소식과 중국의 지준율 인하로 위험 자산 선호 심리로 작용하면서 개인의 저가 매수세가 유입됨. 전 거래일 대비 0.55% 상승한 1,034.64P로 마감
"
