date,stock_name,target_price,invest_opinion,kap,title,href,summary
20210716,키다리스튜디오,"20,000",Buy,미래에셋증권,2Q부터 높아지는 이익 레벨,https://finance.naver.com/research/company_read.nhn?nid=57024&page=1,"레진 연결 실적 온기 반영되며 이익 레벨 상승하는 첫 분기 - 예상 매출 329억원(YoY +182%, QoQ +66%), OP 39억원(YoY +145%, QoQ +74%)- 본사와 델리툰 트래픽 성장 지속, 레진엔터 연결 편입 효과 온기 반영되어 실적 레벨업- 운영 중인 7개 플랫폼(5개국)의 트래픽 증가, 자체 작품 유통 증가로 수익성 개선 예상- 매출액과 OP는 본사 125억원/17억원, 레진 190억원/34억원, 델리툰 소폭 적자 추정"
20210716,코스맥스엔비티,"14,000",Buy,케이프투자증권,2Q21 Preview: 변함없는 방향성,https://finance.naver.com/research/company_read.nhn?nid=57023&page=1,"2Q21F 연결 매출액 yoy +10%, 영업이익 yoy +3,106% 전망- 2Q21F 연결 매출액 805억원, 영업이익 40억원 전망- 2Q21F 별도 실적은 매출액 559억원(yoy +6.3%), 영업이익 63억원(yoy -9.4%) 전망- 별도 법인은 개별인정형 원료(리스펙타) 관련 제품의 매출 호조로 내수 견조하나, 해외 매출은 중국 네트워크 고객사향 매출 부진한 것으로 파악. 개별인정형 원료 판매 증가에 따라 국내 수익성 qoq로 개선- 중국 매출은 전년대비 증가하나, 1Q21 네트워크 고객사의 프로모션 영향으로 qoq 하락 전망. 판매법인 특성상 수익성은 유지- 미국 매출은 1Q21 중 편입된 대형 고객사향 납품 확대 및 온라인 신규 고객사 추가로 100억원 이상 매출 달성 기대. 다만, 신제품 납품과 제품 믹스 변경 효과로 적자폭 qoq 유사한 수준 예상- 호주 실적은 전년동기와 유사한 수준 예상. 양대 고객사향 납품 증가로 100억원대 매출 회복 가능할 전망이며 적자폭은 yoy, qoq 모두 개선될 것으로 기대"
20210716,콜마비앤에이치,"72,000",Buy,케이프투자증권,2Q21 Preview: 부진한 내수를 커버하는 수출,https://finance.naver.com/research/company_read.nhn?nid=57022&page=1,"2Q21F 연결 매출액 yoy +3.3%, 영업이익 yoy -16.1% 전망- 2Q21F 연결 매출액 1,802억원, 영업이익 298억원 전망- 2Q21F 별도 실적은 매출액 1,531억원(yoy -0.7%), 영업이익 274억원(yoy -8.0%) 전망- 전년동기 코로나19의 글로벌 팬데믹 효과로 인한 실적 역기저가 부담으로 작용. 특히, 네트워크 고객사향 내수 매출이 부진한 것으로 파악. 비네트워크향 건기식 매출은 yoy, qoq 모두 성장 중- 수출 매출이 전체 실적을 견인하고 있는 점은 고무적. 중국 뿐 아니라 일본, 인도 등 기타 아시아 국가향 매출 견조. 코로나19 확산세가 여전해 현지 면역력 강화 제품 판매가 호조를 보이는 한편, 판매 차질을 대비한 고객사의 해외 재고 확보가 증가했기 때문"
20210716,CJ프레시웨이,"45,000",Buy,이베스트증권,시장 조정에도 변함없는 회복기조,https://finance.naver.com/research/company_read.nhn?nid=57020&page=1,"2Q21 Preview: 오히려 지금 사야 할 때CJ프레시웨이(이하 동사)의 2Q21E 실적에 대해 매출액 6,131억원(YoY -1.8%), 영업이익 135억원(YoY +399.6%, OPM 2.2%)으로 기존 2분기 영업이익 추정치에서 20억 가량 상향조정했다.최근의 코로나19 재확산 흐름 및 지난주부터 시작된 거리두기 격상 조치에 따라 상반기 내 가파르게 올랐던 컨텍트 관련 소비재들이 전반적으로 하락했다(외식/급식, 주류, 의류 등). 이에 동사 역시 매출기조가 꺾일 것이라는 우려 때문에 주가가 조정을 받았는데, 오히려 이때가 좋은 매수 타이밍이라는 판단이다. 코로나19로부터의 회복에 대해서 방향성 자체에 대해서는 여전히 확신을 가지고 있되, 재확산 및 변이 바이러스 이슈로 본격적인 턴어라운드 시점이나 그 속도에 대해 변동성을 가질 것이란 입장이기 때문이다. 이에 대해서는 1)백신 보급률이 8월까지 어느 정도 올라오면 시장에서 느끼는 우려감이 다시 누그러질 것으로 예상하며, 2)작년 팬데믹보다 약한 증상의 재확산이 이어지고 있기 때문에 월별 흐름으로 봤을 때 1Q21 초반 소비가 회복되는 기조랑 비슷한 턴어라운드 추이를 8월 중으로 예상한다."
20210716,NH투자증권,"16,000",Buy,이베스트증권,업황 둔화에도 호실적 전망,https://finance.naver.com/research/company_read.nhn?nid=57019&page=1,"2분기에도 최대실적 경신 예상2021년 2분기 순이익은 2,675억원으로 추정하며 1분기에 이어 분기 최대실적을 경신할 것으로 예상. 업황지표 둔화로 수수료이익은 전분기대비 감소할 것이나 이자이익과 운용 이익 개선추세가 이어지며 호실적을 견인할 전망. 일부 투자자산의 평가이익 인식으로 Trading 수익규모가 확대되고 신용잔고 및 신용공여 증가를 바탕으로 이자이익 증가세가 이어지면서 분기 ROE 15% 이상의 고수익성 시현이 가능할 전망. 금리변동성 확대에도 채권관련 손실이 크지 않은 가운데, 옵티머스 펀드 배상규모가 결정되고 기적립된 충당금 내에서 처리가 가능해 보여 관련 불확실성 또한 일단락. 높은 이익창출역량이 지속 입증되고 있어 2분기 실적에 대한 긍정적 평가가 예상됨"
20210716,한샘,"160,000",Buy,이베스트증권,"자사주, 그리고 밸류에이션에 대한 오해",https://finance.naver.com/research/company_read.nhn?nid=57018&page=1,"자사주, 시가 매각 대상으로 밸류에이션에 고려할 수 없어-한샘 전일 종가는 15.36% 하락 마감함. 단순히 단기 주가 상승에 인한 차익실현으로 볼수 있으나, 한편으론 자사주를 시가 매각 대상 주식으로 고려한 밸류에이션이 마치 적정 기업가치라는 시장의 오해가 있음-IMM PE의 자사주 활용이 크게는 1) 완전 소각, 2) 기업가치 극대화 이후 매각 재원으로 활용 두 가지로 고려해볼 수 있기 때문에, 현 시점에서 이를 시가로 단순 매각대상으로 밸류에이션 하는 것은 크게 의미가 없음-높은 비중의 자사주가 인수자의 이익 극대화 및 한샘의 자본적 효율화의 툴로 활용 가능성이 높다는 점에서 매력적이나, 이를 시가로 단순 환산한 주당 가격은 적정 밸류에이션에 있어 비교 가능성이 떨어짐"
20210716,원익머트리얼즈,"43,000",매수,IBK투자증권,"편안한 업황과 실적, 그리고 완만한 주가",https://finance.naver.com/research/company_read.nhn?nid=57017&page=1,"• 2분기 실적도 편안 동사는 전방 산업인 반도체 산업 호황기에 맞춰 안정적 실적 흐름을 지속하고 있음. 2Q21 예상 실적은 매출액 737억원(+9%, YoY), 영업이익 127억원(+9.5%, YoY)으로 안정적인 실적 성장세가 이어질 것으로 전망.동사가 공급하는 특수가스 사업은 전방산업의 뚜렷한 변화 없이는 산업군에서 가장 안정적인 실적을 유지하는 사업으로 올해도 편안한 실적 성장 흐름이 유지되는데 큰 무리가 없는 것으로 판단.• 상반기보다 양호한 하반기 실적 하지만 주가는 완만  지난 5년간 16년을 제외한 17, 18, 19, 20년 모두 하반기 실적이 상반기보다 호실적을 나타냄. 올해도 전방산업인 반도체 산업 업황이 하반기까지 긍정적인 것으로 판단되어 상저하고의 실적이 나타날 것으로 전망.연말이 다가올수록 소부장 섹터 내에서 소재, 부품보단 장비 관련기업 위주의 관심도가 증가할 것으로 예상됨. 소재, 부품 기업들의 실적은 하반기에도 양호한 모습을 나타내지만 대체적으로 주가는 변동폭이 적을 것으로 판단.• 투자의견 매수, 목표주가 43,000원 유지  반도체 공정이 고단화 고집적화 됨에 따라 특수가스 시장의 수요는 안정적 성장이 보장되어 있음.안정적인 본업 성장과 양호한 재무상태는 동사가 확보한 경쟁력을 더욱 강화시켜 주는 무기가 되고 있으며 외부 변수에 대한 대응력을 높여주고 있음. 동사가 보유한 산업내 경쟁력은 향후로도 상당기간 유지될 가능성이 높다고 판단되어 투자의견 매수, 목표주가 43,000원을 유지함."
20210715,성우테크론,없음,없음,한국기업데이터,공정 자동화 기술력 확보를 통한 반도체 소부..,https://finance.naver.com/research/company_read.nhn?nid=57016&page=1,"■ 반도체 관련 부품 임가공, 검사 및 장비 제조 전문기업■ 검사장비 제조, 후공정 가공, PCB 가공, 검사 등 우수한 기술력 보유■ 차세대 검사장비 개발을 통해 반도체 제품 시장변화에 대응 중"
20210715,미래나노텍,없음,없음,한국기업데이터,국내 IT용 디스플레이 소재 전문 기업,https://finance.naver.com/research/company_read.nhn?nid=57015&page=1,■ 원천 기술 확보를 통한 글로벌 부품소재 전문 기업으로 도약 중■ 디스플레이 광학 필름 시장 호황에 따른 시장점유율 확대■ 고부가가치 제품군의 비중 확대로 경쟁력 보유
20210715,서울반도체,없음,없음,NICE평가정보,장기간 축적된 노하우 기반 글로벌 LED 기업..,https://finance.naver.com/research/company_read.nhn?nid=57014&page=1,■ LED 전문기업■ COVID-19 확산세와 장기화에 따른 경쟁상황 안정화■ 매출 증대를 위한 중장기적 전략 마련
20210715,나인테크,없음,없음,NICE평가정보,이차전지 및 디스플레이 장비 전문기업,https://finance.naver.com/research/company_read.nhn?nid=57013&page=1,■ 고부가가치 장비 사업 역량 구축■ 지속적인 연구 및 투자를 통한 기술 개발■ 핵심 기술을 통해 유연한 시장 대응 전망 
20210715,SK텔레콤,"410,000",매수,미래에셋증권,통신의 안정성 기반에 비통신 부문 성장 기대..,https://finance.naver.com/research/company_read.nhn?nid=57012&page=1,"2분기 영업이익 4,052억으로 전분기 대비 개선 기대- SK텔레콤은 2분기 매출 및 영업이익을 각각 4조 8,519억원 및 4,025억원으로 예상- 플래그쉽 단말기 신규 출시 부재로 5G 가입자 순증은 전분기 126만명에 비해 낮은 100만명 수준 전망- 5G플래그쉽 단말기 출시가 없어 100만명 수준의 5G 가입자 순증이 예상됨에도 불구하고 마케팅 비용은 전분기 수준에서 크게 증가하지 않은 것으로 추정.- SK 브로드밴드의 케이블방송과의 경쟁 완화 및 기가인터넷 가입자 지속 증가 등의 영향으로 인한 수익성 개선도 전사 영업이익 개선에 기여"
20210715,두산,"150,000",Buy,IBK투자증권,새롭게 재 구성될 기업가치,https://finance.naver.com/research/company_read.nhn?nid=57011&page=1,자산 유동화로 재무적 부담 줄어두산그룹의 재무적 부담을 덜기 위한 그룹 차원의 자산유동화 계획이 하반기 두산인 프라코어 매각으로 일단락될 것 같다. 지난해 상반기에 불거진 금융위기로 3조원을 마련하는 자산유동화 계획이 비교적 빠른 시간 내에 결론을 맺게 되었다. 재무적 문제가 갑작스럽기보다는 내재되어 있는 부담이 표면화 된 것으로 이번 구조조정이 고질적 문제였던 재무적 부담을 줄이는 긍정적인 효과가 연출된 셈이다.
20210715,에코프로비엠,"390,000",Buy,유안타증권,"22년, 23년 실적 추정치 대폭 상향",https://finance.naver.com/research/company_read.nhn?nid=57010&page=1,"목표주가 39만원으로 +56% 상향목표주가를 기존 25만원에서 39만원으로 +56% 상향. ‘22년과 ‘23년 예상 지배주주순이익 추정치를 기존 대비 +49.6%, +102.1% 상향조정. ‘22년 1,911억원, ‘23년 3,125억원 전망. 목표주가는 내년 예상 EPS 8,720원에 Target P/E 45.X(국내 소재 업체 평균)을 적용해 산출. 국내 배터리 3사 중 2개사(SK이노베이션, 삼성SDI)의 양극재 메인 벤더로서 향후 시장 기대치를 대폭 상회하는 성장을 보여줄 것으로 판단. 이차전지 업종 내 Top-pick 유지"
20210714,조이시티,없음,없음,교보증권,내년이 더 기대되는 이유,https://finance.naver.com/research/company_read.nhn?nid=57009&page=1,"주력 타이틀 최고매출 경신 지속조이시티 주력 타이틀들의 고속 성장이 지속되고 있다. 캐러비안의 해적과 건쉽배틀은 재차 월 최고매출을 경신한 것으로 파악된다. 건쉽배틀은 연초 틸팅포인트와의 마케팅 투자 발표 이후 상승세가 지속되고 있으며 월 매출 규모는 70억 수준으로 추정된다. 틸팅포인트가 마케팅 투자금을 모두 회수하는 시점까지 건쉽배틀 성장으로 동사에 귀속되는 이익은 크지 않다. 내년 1분기 이후로 탄력적인 이익 성장이 기대된다. 2021년 연간 실적은 매출액 2,422억원(+46.5% yoy), 영업이익 321억원(+55.5% yoy)로 전망한다"
20210714,삼성물산,"200,000",Buy,교보증권,외면하기 어려운 이익 개선,https://finance.naver.com/research/company_read.nhn?nid=57007&page=1,"목표주가 200,000원 유지. 장기 실적 개선, 신사업 투자 여력 증가삼성물산에 대해 투자의견 ‘매수’ 및 목표주가 200,000원 유지. 최근 주가는 지난 1Q21 실적발표 이후 기간 조정을 지속하고 있는 상황. 현재 주가와 목표주가 괴리 다소 높은 편이나, ① 전년 동기비 실적 개선이 지속되고 있고, ② 목표주가는 보유 지분가치에 대해 50% 할인 적용 등 충분히 보수적으로 산정되었고, ③ 추가 할인의 이유를 찾기 힘든 상황으로 목표주가 유지함. 2Q21 실적은 건설의 전년 수준 유지 불구, 상사•바이오 등의 실적 개선에 힘입어 전년비 대폭 개선될 전망. 상반기 카타르 LNG 등 해외수주(약 4조원)•하이테크(약 2조원) 등 양호한 신규수주 개선 진행과 한화종합화학 지분 매각을 통한 추가 현금 확보 등 장기 실적 개선 및 신사업 투자 여력 증가 예정."
20210714,NAVER,"480,000",Buy,교보증권,2Q21E Preview: 하반기 모멘텀 가시화 기대,https://finance.naver.com/research/company_read.nhn?nid=57006&page=1,"2Q21E 매출 1조 6,274억원(YoY +27.5%), 영업이익 3,211억원(YoY +4.2%) 전망NAVER의 2021년 2분기 매출은 컨센서스에 부합하는 1조 6,274억원(YoY +27.5%, QoQ +8.6%) 예상. 서치플랫폼 부문 매출 7,837억원(YoY +15.6%, QoQ +4.1%)을 전망하며, 이는 2020년 COVID-19로 인한 온라인 광고 시장 타격에 따른 기저효과로 2분기 검색 및 디스플레이 광고 부문 모두 YoY 기준 고성장이 기대되기 때문. 스마트스토어 거래액은 6.1조원을 달성해 YoY 50%의 성장률을 보일 것으로 예상하는데 이를 기반으로 커머스 매출 3,560억원(YoY +39.0%, QoQ +9.8%) 및 핀테크 매출 2,301억원(YoY +39.7%, QoQ +9.9%) 시현 전망. 공공 부문 수주 증가 통해 클라우드 매출은 전년동기대비 58.6% 성장한 1,016억원 달성 기대"
