,순위,종목코드,종목명,주식종류,시장구분,주당배당금,시가배당율,액면가배당율,액면가,결산월
0,1,023450,동남합성,보통주,유가증권시장,"9,900",29.50,"1,980.00",500,12
1,2,017390,서울도시가스,보통주,유가증권시장,"16,750",21.14,335.00,"5,000",12
2,3,950180,에스앤케이 KDR,보통주,코스닥시장,"3,245",19.80,0.00,0,07
3,4,008110,대동전자,보통주,유가증권시장,500,16.20,100.00,500,03
4,20,078020,이베스트투자증권,보통주,코스닥시장,550,7.80,11.00,"5,000",12
5,21,011785,금호석유화학1우,우선주,유가증권시장,"4,250",7.80,85.00,"5,000",12
6,22,007340,디티알오토모티브,보통주,유가증권시장,"2,000",7.60,400.00,500,12
7,23,003475,유안타증권1우,우선주,유가증권시장,175,7.30,3.50,"5,000",12
8,24,145270,케이탑자기관리부동산투자회사,보통주,유가증권시장,80,6.70,8.00,"1,000",12
9,25,005960,동부건설,보통주,유가증권시장,900,6.60,18.00,"5,000",12
10,26,122900,아이마켓코리아,보통주,유가증권시장,600,6.40,120.00,500,12
11,27,040420,정상제이엘에스,보통주,코스닥시장,430,6.39,86.00,500,12
12,28,100250,진양홀딩스,보통주,유가증권시장,170,6.30,34.00,500,12
13,29,175330,JB금융지주,보통주,유가증권시장,374,6.30,7.48,"5,000",12
14,30,085910,네오티스,보통주,코스닥시장,250,6.29,50.00,500,12
15,16,003410,쌍용씨앤이,보통주,유가증권시장,440,8.00,143.00,100,12
16,17,001750,한양증권,보통주,유가증권시장,750,7.90,15.00,"5,000",12
17,18,282690,동아타이어공업(신설),보통주,유가증권시장,800,7.90,160.00,500,12
18,19,000060,메리츠화재해상보험,보통주,유가증권시장,"1,280",7.90,256.00,500,12
19,35,244920,에이플러스에셋어드바이저,보통주,유가증권시장,350,6.17,70.00,500,12
20,36,007330,푸른상호저축은행,보통주,코스닥시장,550,6.14,55.00,"1,000",12
21,37,190650,코리아에셋투자증권,보통주,코스닥시장,300,6.10,6.00,"5,000",03
22,38,078935,지에스1우,우선주,유가증권시장,"1,950",6.10,39.00,"5,000",12
23,39,225190,삼양옵틱스,보통주,코스닥시장,600,6.04,120.00,500,12
24,40,194370,제이에스코퍼레이션,보통주,유가증권시장,450,6.03,450.00,100,12
25,41,005940,NH투자증권,보통주,유가증권시장,700,6.00,14.00,"5,000",12
26,42,028150,지에스홈쇼핑,보통주,코스닥시장,"8,500",6.00,170.00,"5,000",12
27,43,001275,부국증권1우,우선주,유가증권시장,"1,250",6.00,25.00,"5,000",12
28,44,031330,에스에이엠티,보통주,코스닥시장,150,6.00,30.00,500,12
29,45,267250,현대중공업지주,보통주,유가증권시장,"18,500",5.93,370.00,"1,000",12
30,31,001795,대한제당1우,우선주,유가증권시장,925,6.26,37.00,500,12
31,32,016610,디비금융투자,보통주,유가증권시장,300,6.21,6.00,"5,000",12
32,33,004800,효성,보통주,유가증권시장,"5,000",6.20,100.00,"5,000",12
33,34,088260,이리츠코크렙기업구조조정부동산투자회사,보통주,유가증권시장,350,6.20,70.00,500,12
34,50,000970,한국주철관공업,보통주,유가증권시장,400,5.80,80.00,500,12
35,51,007590,동방아그로,보통주,유가증권시장,370,5.80,74.00,500,12
36,52,030610,교보증권,보통주,유가증권시장,450,5.74,9.00,"5,000",12
37,53,000815,삼성화재해상보험1우,우선주,유가증권시장,"8,805",5.70,"1,761.00",500,12
38,54,019440,세아특수강,보통주,유가증권시장,700,5.70,14.00,"5,000",12
39,55,086790,하나금융지주,보통주,유가증권시장,"1,850",5.60,37.00,"5,000",12
40,56,015360,예스코홀딩스,보통주,유가증권시장,"2,000",5.50,40.00,"5,000",12
41,57,033780,케이티앤지,보통주,유가증권시장,"4,800",5.50,96.00,"5,000",12
42,58,29394K,신한알파위탁관리부동산투자회사1우,우선주,기타비상장,825,5.50,82.50,"1,000",03
43,59,003570,에스앤티중공업,보통주,유가증권시장,300,5.50,12.00,"2,500",12
44,60,092440,기신정기,보통주,유가증권시장,150,5.50,30.00,500,03
45,46,001720,신영증권,보통주,유가증권시장,"2,500",5.93,50.00,"5,000",03
46,47,001725,신영증권1우,우선주,유가증권시장,"2,550",5.92,51.00,"5,000",03
47,48,082640,동양생명보험,보통주,유가증권시장,220,5.90,4.40,"5,000",12
48,64,139130,DGB금융지주,보통주,유가증권시장,390,5.40,7.80,"5,000",12
49,65,344820,케이씨씨글라스,보통주,유가증권시장,"2,100",5.31,210.00,"1,000",12
50,66,030200,케이티,보통주,유가증권시장,"1,350",5.30,27.00,"5,000",12
51,67,092230,KPX홀딩스,보통주,유가증권시장,"3,100",5.30,62.00,"5,000",12
52,68,004970,신라교역,보통주,유가증권시장,500,5.30,100.00,500,12
53,69,128660,피제이메탈,보통주,코스닥시장,120,5.30,24.00,500,12
54,70,001270,부국증권,보통주,유가증권시장,"1,200",5.30,24.00,"5,000",12
55,71,094820,일진파워,보통주,코스닥시장,300,5.30,60.00,500,12
56,72,039240,경남스틸,보통주,코스닥시장,100,5.20,100.00,100,12
57,73,016360,삼성증권,보통주,유가증권시장,"2,200",5.20,44.00,"5,000",12
58,74,123890,한국자산신탁,보통주,유가증권시장,220,5.20,44.00,500,12
59,75,003690,코리안리재보험,보통주,유가증권시장,450,5.20,90.00,500,12
60,61,138930,BNK금융지주,보통주,유가증권시장,320,5.40,6.40,"5,000",12
61,62,002990,금호건설,보통주,유가증권시장,500,5.40,10.00,"5,000",12
62,63,029960,코엔텍,보통주,코스닥시장,510,5.40,102.00,500,12
63,64,139130,DGB금융지주,보통주,유가증권시장,390,5.40,7.80,"5,000",12
64,80,003690,코리안리재보험,보통주,유가증권시장,450,5.20,90.00,500,12
65,81,065690,파커스,보통주,코스닥시장,150,5.13,30.00,500,12
66,82,078930,지에스,보통주,유가증권시장,"1,900",5.10,38.00,"5,000",12
67,83,338100,엔에이치프라임위탁관리부동산투자회사,보통주,유가증권시장,246,5.10,49.20,500,11
68,84,035000,지투알,보통주,유가증권시장,300,5.10,30.00,"1,000",12
69,85,100840,에스앤티에너지,보통주,유가증권시장,800,5.10,160.00,500,12
70,86,005935,삼성전자1우,우선주,유가증권시장,"2,995",5.10,"2,995.00",100,12
71,87,025000,KPX케미칼,보통주,유가증권시장,"2,750",5.09,55.00,"5,000",12
72,88,002460,화성산업,보통주,유가증권시장,650,5.07,13.00,"5,000",12
73,89,204210,모두투어자기관리부동산투자회사,보통주,유가증권시장,150,5.07,3.00,"5,000",12
74,90,024110,중소기업은행,보통주,유가증권시장,471,5.00,9.42,"5,000",12
75,76,072870,메가스터디,보통주,코스닥시장,600,5.20,120.00,500,12
76,77,054040,한국컴퓨터,보통주,코스닥시장,150,5.20,30.00,500,12
77,78,016360,삼성증권,보통주,유가증권시장,"2,200",5.20,44.00,"5,000",12
78,79,123890,한국자산신탁,보통주,유가증권시장,220,5.20,44.00,500,12
79,95,213500,한솔제지,보통주,유가증권시장,700,4.94,14.00,"5,000",12
80,96,000650,천일고속,보통주,유가증권시장,"3,000",4.90,60.00,"5,000",12
81,97,002960,한국쉘석유,보통주,유가증권시장,"14,000",4.90,280.00,"5,000",12
82,98,005830,디비손해보험,보통주,유가증권시장,"2,200",4.90,440.00,500,12
83,99,000480,조선내화,보통주,유가증권시장,"4,200",4.89,84.00,"5,000",12
84,100,003465,유화증권1우,우선주,유가증권시장,120,4.83,12.00,"1,000",12
85,101,034590,인천도시가스,보통주,유가증권시장,"1,250",4.80,25.00,"5,000",12
86,102,225330,씨엠에스에듀,보통주,코스닥시장,260,4.80,52.00,500,12
87,103,017940,E1,보통주,유가증권시장,"2,200",4.80,44.00,"5,000",12
88,104,005930,삼성전자,보통주,유가증권시장,"2,994",4.70,"2,994.00",100,12
89,105,293940,신한알파위탁관리부동산투자회사,보통주,유가증권시장,303,4.70,30.30,"1,000",03
90,91,091340,에스엔케이폴리텍,보통주,코스닥시장,250,5.00,50.00,500,12
91,92,000440,중앙에너비스,보통주,코스닥시장,480,5.00,96.00,500,12
92,93,001500,현대차증권,보통주,유가증권시장,675,5.00,13.50,"5,000",12
93,94,102260,동성케미컬,보통주,유가증권시장,250,5.00,25.00,"1,000",12
94,110,120115,코오롱인더스트리1우,우선주,유가증권시장,"1,050",4.70,21.00,"5,000",12
95,111,046110,한일네트웍스,보통주,코스닥시장,240,4.70,48.00,500,12
96,112,001800,오리온홀딩스,보통주,유가증권시장,650,4.70,130.00,500,12
97,113,293940,신한알파위탁관리부동산투자회사,보통주,유가증권시장,303,4.70,30.30,"1,000",03
98,114,003460,유화증권,보통주,유가증권시장,110,4.62,11.00,"1,000",12
99,115,003780,진양산업,보통주,유가증권시장,180,4.60,36.00,500,12
100,116,030210,케이티비투자증권,보통주,유가증권시장,150,4.60,3.00,"5,000",12
101,117,000075,삼양홀딩스1우,우선주,유가증권시장,"2,300",4.60,46.00,"5,000",12
102,118,065710,서호전기,보통주,코스닥시장,"1,000",4.60,200.00,500,12
103,119,272550,삼양패키징,보통주,유가증권시장,"1,000",4.60,20.00,"5,000",12
104,120,267290,경동도시가스(신설),보통주,유가증권시장,875,4.60,35.00,"2,500",12
105,106,071055,한국투자금융지주1우,우선주,유가증권시장,"3,062",4.70,61.23,"5,000",12
106,107,093920,서원인텍,보통주,코스닥시장,350,4.70,70.00,500,12
107,108,300720,한일시멘트(신설),보통주,유가증권시장,"5,100",4.70,102.00,"5,000",12
108,124,015760,한국전력공사,보통주,유가증권시장,"1,216",4.50,24.32,"5,000",12
109,125,000155,두산1우,우선주,유가증권시장,"2,050",4.50,41.00,"5,000",12
110,126,117580,대성에너지,보통주,유가증권시장,250,4.50,25.00,"1,000",12
111,127,003300,한일홀딩스,보통주,유가증권시장,510,4.50,51.00,"1,000",12
112,128,000810,삼성화재해상보험,보통주,유가증권시장,"8,800",4.50,"1,760.00",500,12
113,129,041520,이라이콤,보통주,코스닥시장,600,4.50,120.00,500,12
114,130,037350,성도이엔지,보통주,코스닥시장,200,4.48,40.00,500,12
115,131,049720,고려신용정보,보통주,코스닥시장,275,4.40,55.00,500,12
116,132,036190,금화피에스시,보통주,코스닥시장,"1,300",4.40,260.00,500,12
117,133,227840,현대코퍼레이션홀딩스,보통주,유가증권시장,500,4.40,10.00,"5,000",12
118,134,011040,경동제약,보통주,코스닥시장,500,4.40,100.00,500,12
