title,date,video_url,view_num,likes_num,unlikes_num,comments
히든마켓 – 비메모리반도체 힘 못쓰는 삼성전자 / 최성민의 빅샷+ / 최성민 앵커 글로벌 투자 전략가 / 한국경제TV,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 5,063회",좋아요 104개,싫어요 3개,"이 형님 진짜 멋있네|그러게요~~
삼전 힘 못 쓰네요~~|감사드립니다 ^^|천천히 기다려봅시당|어차피 실적 상승하면 하반기때 올라간다 작년가격일때 매수해놔라 주린들아|❤ * 티피씨글로벌 * 열배 간다 = 이재명 (이정훈 대표..동갑,안동출신,안동기업,향우회장)
        (안동기업 - 동신건설..매출 300억 적자가 20배 상승...현재 시총 5,000억)
❤ 시총 500억..매출 800억  이익 30억  순자산 1,200억 - 코스닥 해성티피씨 지분만 500억
❤ 전기차&로봇감속기..BMW Crysler Ford TOYOTA  현기차=티피씨글로벌 *시총 1조 간다"
너도나도 메타버스 3대장 제칠 기업은 / 최성민의 빅샷+ / 이상로 와우넷 파트너 / 한국경제TV,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 5,744회",좋아요 110개,싫어요 2개,"덱스터|음성이 잘안들니네요|❤ * 티피씨글로벌 * 열배 간다 = 이재명 (이정훈 대표..동갑,안동출신,안동기업,향우회장)
        (안동기업 - 동신건설..매출 300억 적자가 20배 상승...현재 시총 5,000억)
❤ 시총 500억..매출 800억  이익 30억  순자산 1,200억 - 코스닥 해성티피씨 지분만 500억
❤ 전기차&로봇감속기..BMW Crysler Ford TOYOTA  현기차=티피씨글로벌 *시총 1조 간다"
"삼성전자, SK하이닉스 외인이 파는 진짜 이유 / 최성민의 빅샷+ / 김주영 칸서스자산운용 대체투자본부 상무 / 한국경제TV",2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 37,510회",좋아요 632개,싫어요 33개,"한국 주식판 최대 세력 = 국민연금|분석 백날해봐라 세력 형님 마음이지 ㅋㅋㅋ 전문가들 분석이랑 나랑 적중률이 또이또이|니들이 뭘알어?|헐~~~|그래봐야 길게 보면 어차피 삼성전자는 우상향이다..|연봉 조금이... 몇억은 되실듯...|언제나 감사합니다|스카웃 되셨나|메타버스 현금화가 바로 될까요?
만들어졌어요. 더 크게될거고, 가상화폐나 가상자산이 상용화될 날이 얼마 안남았는데...|어차피 우상향|아카치오 컴퍼니에 계시지않았나...|잘보고갑니다 사시다가 힘드실 때 J stock box 📦 를 방문해주세요 많은 선물이 준비되어있습니다 행운은 준비된 사람에게 어느날 다가갑니다|정부와 한국은행은 CDBC를 잘 진행하고있나 궁굼하네요!|지금이 제일 어려운 시장이라고들 하시던데 ........ 전문가들도 모른다고 하니 ...........|외국인이 비중을 줄이고 기관도 내다팔고 개미만 샀네. 가상화폐 먼저 조정받고 그다음 주식 그다음 부동산이 될거같다. 횡보말고 확실하게 조정 나오면 들어가는게 나을듯. 어차피 영원한 조정도 없으니까.|언론은 가상자산과 암호화폐를 제대로 공부해서 국민들 대부분이 잘못 인지하고있는 부분에 대해 올바른 길로 안내해야 할 의무가 있다고 보입니다. 자극적인
스켐 다단계 및 투기성 자본만 부각시키지 마시길...|삼성전자를 외인이 파는 이유는 공매도 수익을 노리고 때문이다. 또한 일 거래량은 30%를 불법인 무차입공매도를 한다. 무차입공매도 막는 전산시스템 만들어야한다.|한국 경제 TV 돈깡님 불사조님 시윤주식님 영상 보면서 공부하는 주린이 입니다 한국경제 9시만 되면 땅하고 틀고 시청중인데 유투브로도 이렇게 있네요 ㅎ 공부 많이 하고 갑니다!|❤ * 티피씨글로벌 * 열배 간다 = 이재명 (이정훈 대표..동갑,안동출신,안동기업,향우회장)
        (안동기업 - 동신건설..매출 300억 적자가 20배 상승...현재 시총 5,000억)
❤ 시총 500억..매출 800억  이익 30억  순자산 1,200억 - 코스닥 해성티피씨 지분만 500억
❤ 전기차&로봇감속기..BMW Crysler Ford TOYOTA  현기차=티피씨글로벌 *시총 1조 간다|●        ■  ㆍ



서울 구축아파트 핵폭발 상승률은 

♡♡전농sk아파트 30평대♡♡ 

gtx +면목선
지하철역이 정문 

청량리개발 직접호재"
증권사 Pick 여행주 모두투어·티웨이항공·파라다이스·호텔신라 / 나의 투자 / 한국경제TV,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 3,611회",좋아요 61개,싫어요 1개,"인터파크 ㄱㄱ|제가 주식유튜브 안보는 채널이 없는데 주식 유튜버중 실시간 실전매매 원탑이네요
주식으로 10만원에서 30억으로 만들고 종목에 대한 매매 날짜랑 가격대 계좌까지 전부 다 까 놓고 매매하는데 승률이 계산해보니 98.7%더군요
[주식의정석]이란 채널인데 아마 은둔고수로 추정이되는데요 입으로 주식하는 사람들하고는 차원이 다르네요
광고 아니니 오해없으시길..|◆ 삼성전자(우): 2분기 배당일(D-3): 배당일 전에 선 매수 유리
-->매수 적기      
보통주와 갭 줄이려, 우선주 급등 시점: 우선주 매수 유리!
우선주 공매도 제외(보통주: 공매도 대상): 우선주가 보통주 보다 상승 유리

1. 드디어 2분기 배당일이 다가 오네요: 6/28(월)
배당일 다가 올수록 매수세 몰려, 점진적 상승 전망
5개월 긴 조정 마무리 국면: 2차 상승랠리前 매수 유효!

2. 1년에 배당 5번 주는 회사 없음(정규 배당 4번+특별배당 1번)
삼성전자/삼성전자우: 2종목만이 받는 배당 특혜 임

◆ 삼전(우): 10년간 5~10배 상승(대박 수익)+고배당 주는 유일한 종목
향후 10년: 시스템반도체 171조 투자로, 실적 증가 및 주가 5배 급등 전망
 
◆ 삼성전자(우): 보통주 보다 주가 저렴, 우선주가 배당 15% 더  많아 유리! 
시스템반도체 성장성 매우 커, 2년내 20만원 전망: 지금은 저가 매수 기회|❤ * 티피씨글로벌 * 열배 간다= 이재명 (이정훈대표..동갑,안동생,안동기업,향우회장)
    (안동소재- 동신..매출 300억 적자가 20배 상승..시총 5,000억)
❤ 시총 500억...매출 800억 이익 30억 순자산 1,200억 (코스닥 해성티피씨 지분만 500억)
❤ 전기차&로봇감속기 제조...BMW Crysler Ford TOYOTA 닛산 # 티피씨글로벌 * 시총1조 간다"
솔루스첨단소재 매출 성장 OLED 소재주 / 나의 투자 / 한상혁 유안타증권 파이낸스허브 과장 / 앞으로 종목 / 한국경제TV,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 6,759회",좋아요 127개,싫어요 1개,"나민호 앵커님.. 자꾸 웃음이 납니다... 응원합니다^^|실적이 향후 마니 오를거라고 하더군요|◆ 삼성전자(우): 2분기 배당일(D-3): 배당일 전에 선 매수 유리
-->매수 적기      
보통주와 갭 줄이려, 우선주 급등 시점: 우선주 매수 유리!
우선주 공매도 제외(보통주: 공매도 대상): 우선주가 보통주 보다 상승 유리

1. 드디어 2분기 배당일이 다가 오네요: 6/28(월)
배당일 다가 올수록 매수세 몰려, 점진적 상승 전망
5개월 긴 조정 마무리 국면: 2차 상승랠리前 매수 유효!

2. 1년에 배당 5번 주는 회사 없음(정규 배당 4번+특별배당 1번)
삼성전자/삼성전자우: 2종목만이 받는 배당 특혜 임

◆ 삼전(우): 10년간 5~10배 상승(대박 수익)+고배당 주는 유일한 종목
향후 10년: 시스템반도체 171조 투자로, 실적 증가 및 주가 5배 급등 전망
 
◆ 삼성전자(우): 보통주 보다 주가 저렴, 우선주가 배당 15% 더  많아 유리! 
시스템반도체 성장성 매우 커, 2년내 20만원 전망: 저가 매수 기회!"
상장사 초대석 노랑풍선 / 나의 투자 / 정진원 노랑풍선 전무 / 한국경제TV,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,조회수 822회,좋아요 14개,싫어요 1개,질문해주신 청정지역님을 찾습니다. 청정지역님 혹시 보시면 댓글 남겨주세요! :)
연준의 최대 리스크 파월의 연임 여부 다음 Fed 의장 위해 미국 기준금리 올릴까(최양오)/ 주식경제 이슈분석 / 한국경제TV,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 2,657회",좋아요 57개,싫어요 2개,"명쾌한전망 내일이 기대 된다|이 분 이봉규tv에 게스트로 나오시는분인데 말씀하실때 사기꾼인줄알았는데 쌉전문가시네요ㄷㄷ
이봉규박사하고 형동생하면서 농담따먹기하는데ㅋㅋㅋ"
매파 Fed에 놀랐다 차트로 보는 미국 증시 등락 안심해도 될까(이진우)/ 주식경제 이슈분석 / 한국경제TV,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 13,221회",좋아요 281개,싫어요 6개,방송 잘보고 있습니다 감사합니다|2:13|믿고 보는 두 분|제가 좋아하는 이진우 소장님^^
손현정의 오늘장 뽀개기 (6/22) / 나의 투자 / 오전장 복기 / 한국경제TV,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 1,271회",좋아요 26개,싫어요 1개,감사합니다 🙏|제목도 참! 뽀개긴 뭘 뽀개나!
영국 '델타 변이' 관련주 코로나19치료제 셀트리온 / 한국경제TV / 증시라인,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 18,814회",좋아요 365개,싫어요 5개,"셀트리온, 셀트리온헬스케어, 셀트리온제약 3형제 기존 수출 주력품인 바이오 시밀러 약품외에 코로나 변이 확산에 따른 렉키로나주 치료제 수출 증대 예상으로 호재가 만발~ 이제 상승할 일만 남았다~~|삼성바이오 로직스는 카피약 만들며 주가도 잘올려주는 연기금 떨거지도 있는데 셀트는 뒷배가 없는지|조만간 날아간다|셀트리온도 네이처셀처럼 날아오를날이 얼마 안남았습니다|신약은 아무나 만드나 
셀트 50가즈아~~~~|박대출 의원이 발의한 법안 수개표 국회청원에 동의를 합시다 마감 7월 1일까지입니다 휴대폰 본인 인증으로도 동의를 할수 입습니다 공병호 T.V 댓글창에서 동의합니다 꼭 부탁드립니다|잘봤습니다~! 지인이 셀트리온으로 겁나 고생중이요.. ㅠㅠ 그래서 전 바이오는 겁나서 못하겠고,, 코로나 수혜주로, 인테리어관련주로 수익봤어요 ㅎㅎ것도 사실 불사조 유튜브에서 한국가구 분석해줘서 운이 좋게도 얻어걸렸네요 .ㅋ 델타변이 무서운데 언제쯤 코로나가 끝날지.. ㅠㅠ 모두들 지치시겠지만, 건강합시다. 주식 오래 해야지요 ㅎㅎ|ㅋ셀트리온 폭락|굿|셀트야
날라라|사과tv 수위 실화냐 보니까 다 입고있다|전주고/10425/한요셉/코로나 바이러스의 변이 형태인 델타 바이러스의 확산으로 인해 주식 시장의 형태가 코로나 이후의 성장을 기대하는 것에 초점을 두던 유동성이 큰 시장에서 확실한 실적을 내는 것에 초점을 두는 실적 시장으로 전환되었고, 이에 따라 셀트리온의 코로나 치료제 임상 및 완성을 기대하며 실적을 기대하며 투자 계획을 세울 수 있었다. 앞으로는 이 세상의 흐름에 따라 시장의 흐름이 크게 변동 될 수 있음을 파악하며 투자해야겠다.|셀트리온은 공매도 주 먹이감이라 ᆢ개미들 잘못 들어가다가는 짭짭됨|에휴 또 뛰우기 ᆢ
고만해라 
많이 해먹다 아이가 이것들아ᆢ|2006년 5월 22일, 너무일찍 세상을 떠나셔서 매우 안타깝고 1년넘게 진정되지 않는 전세계 코로나19 상황에 이종욱 세계보건기구(WHO) 사무총장님의 존재가 더욱더욱더 크게 느껴집니다. 지금도 살아계셨다면 코로나 대응방식은 지금과는 아주 많이 달라졌을것이다. 변이 바이러스 보고에도 지금과 같은 이러한 큰 어려움은 없었을 것이다라는 말이 나올 정도 이게 다 현재 WHO 사무총장이란 인간때문 초창기에 중국 편향적인 발언을 해서|ㅉㅉㅉ 낼또 폭락각이구먼 국내외 세력들이 장난치는 셀, 겉만 번드러 했지 실속이 없는 회사였네요 개미는 절대 접근금지 하세요 피눈물 납니다|화합물
처음부터 자연에서 치환된 화합물로 나갔으면 전세계인 코로나로 인해서 한사람도 희생자 없었을 것이고 경제적으로도 고난을 겪지도 안했을 것이다. 하기사 모르는 것은 모르기때문에 누구의 잘못도 아니다.|헤키로나는 현재 발생한 모든변이에 다 적응가능하다.
특히 영국 일본 브라질 중국 인도네시아등에 임상으로 증명했고,
인도와 남아공 변이에도 효과있음이 약품임상에서 증명하고, 동물에 적용임상중임.
그러니 전문가라고 이런 곳에서 강의하려면 
먼저 강의 자료를 확인하고 말을 해야 본인의 신뢰성이 높아집니다.
특히 한경에서는 상담 자료를 미리 검증히는게 좋을듯...ㅎㅎ|인제봐라
가나 안가나
긍께 돈을 못벌지ㅎ|응 셀트리온은 아니야|구라 주식은 안돼"
