년도,출자분야,운용사,조합명,만기일,금액,약정액
2019,LP지분유동화,포스코기술투자㈜,피씨씨-우리 LP지분 유동화 펀드,2027-12-31,26000.0,10000.0
2019,미세먼지해결,㈜이앤인베스트먼트,2019모태이앤클린에어펀드,2027-12-29,21500.0,15000.0
2019,대학창업,숭실대학교기술지주,숭실대 SUJI 제1호 개인투자조합,2026-12-22,1700.0,1225.0
2019,디지털콘텐츠 해외진출,이에스인베스터,이에스6호디지털콘텐츠글로벌펀드,2026-12-22,15000.0,10500.0
2019,특허기술사업화,퀀텀벤처스코리아,퀀텀5G특화4차산업고급기술펀드,2027-11-27,49700.0,2800.0
2019,특허기술사업화,유티씨인베스트먼트,KB-UTC 혁신 기술금융 벤처투자조합,2027-12-04,50800.0,4100.0
2019,특허기술사업화,스톤브릿지벤처스,2019KIF-스톤브릿지혁신기술성장TCB투자조합,2024-11-14,76500.0,5600.0
2019,관광기업육성,나이스에프앤아이,NICE융합관광신기술투자조합,2027-12-29,22000.0,13000.0
2019,지방기업,다담인베스트먼트,다담 대전 성장지원 1호 투자조합,2027-11-19,10000.0,5600.0
2019,지방기업,세종벤처파트너스,세종 강소기업육성 투자조합 2호 ,2027-12-30,10000.0,4700.0
2019,지방기업,케이앤투자파트너스,케이앤 지방상생 일자리창출 투자조합,2027-12-29,15400.0,8700.0
2019,지방기업,위벤처스,WE지방기업육성펀드1호,2027-11-24,16000.0,9000.0
2019,스마트공장,KT인베스트먼트,케이티스마트공장투자조합,2027-11-06,17000.0,10000.0
2019,농수산벤처(수산일반),아이디벤처스,IDV-IP 수산전문투자조합 2호,2027-12-02,15000.0,5250.0
2019,농수산벤처(수산일반),마이다스동아인베스트먼트,마이다스동아-엔에스씨 수산펀드 2호,2027-12-30,20000.0,7000.0
2019,창업초기,라구나인베스트먼트,라구나 창업초기 투자조합 제2호,2027-12-29,12000.0,7000.0
2019,지방기업,미래과학기술지주,미래지주 창업투자 제2호 개인투자조합,2027-11-24,7000.0,3500.0
2019,지방기업,포항공과대학교기술지주,포스텍 홀딩스 3호 투자조합,2029-12-02,5000.0,3000.0
2019,IP 창출·보호,피앤피인베스트먼트,PNP IP Value Creation 펀드,2027-12-23,17000.0,7500.0
2019,IP 창출·보호,아이디벤처스,IDV IP STAR 투자조합,2027-12-26,30000.0,15000.0
2019,실감 콘텐츠,스마일게이트인베스트먼트,스마일게이트 엑스알 콘텐츠 투자조합,2026-12-30,15000.0,10500.0
2019,중저예산한국영화,쏠레어파트너스,쏠레어 스케일업 영화투자조합 1호,2024-08-13,19300.0,9500.0
2019,콘텐츠 민간제안,유니온투자파트너스,유니온K-문화콘텐츠투자조합,2026-11-24,30000.0,15000.0
2019,청년콘텐츠,보광창업투자,보광 청년창업 콘텐츠 투자조합,2027-11-21,15000.0,8400.0
2019,청년콘텐츠,미시간벤처캐피탈,미시간글로벌콘텐츠투자조합7호,2027-12-05,19000.0,10600.0
2019,게임,케이제이앤투자파트너스,케이제이앤1호게임전문투자조합,2027-12-29,30000.0,15000.0
2019,기술사업화촉진,고려대학교기술지주,고려대 공공기술사업화 촉진 개인투자조합 제1호,2028-08-21,5000.0,3000.0
2019,기술사업화촉진,서울대학교기술지주,서울대 STH 기술사업화 개인투자조합,2026-09-17,9000.0,4000.0
2019,기술사업화촉진,한국과학기술지주,케이에스티(KST) 실험실창업 제1호 개인투자조합,2027-09-15,11300.0,6210.0
2019,기술사업화촉진,에트리홀딩스,에트리홀딩스기술사업화 개인투자조합 2호,2026-09-16,9000.0,4790.0
2019,대학창업,부산대학교기술지주,부산대대학창업 제2호 개인투자조합,2029-09-04,4200.0,3000.0
2019,대학창업,대경지역대학공동기술지주,대경 다이나믹 제1호 개인투자조합,2029-09-22,5050.0,3750.0
2019,대학창업,연세대학교기술지주,연세대학교기술지주 대학창업기업 개인투자조합 YUTH 2호,2029-09-15,3500.0,2625.0
2019,혁신성장,소프트뱅크벤처스,그로스엑셀러레이션펀드,2027-07-18,341020.0,30000.0
2019,해양신산업,캐피탈원,캐피탈원 해양신산업 투자조합,2027-08-18,14500.0,10000.0
