회사명,종류,구분,회차,발행액,직전등급(Outlook),현재등급(Outlook),평가일,공시일,평가의견,보고서,Type,평가기준일,직전등급,현재등급,한도설정일,발행한도
AJ네트웍스(주),SB,본,047,300.0,,BBB+ (부정적),2021.07.14,2021.07.14 ( 16 : 53 ),,,전자단기사채,,,,,
(주)BNK금융지주,FB,본,35-2,400.0,,AAA (안정적),2021.07.09,2021.07.09 ( 14 : 33 ),,,전자단기사채,,,,,
(주)BNK금융지주,FB,본,35-1,1100.0,,AAA (안정적),2021.07.09,2021.07.09 ( 14 : 33 ),,,전자단기사채,,,,,
BNK캐피탈(주),FB,본,B255-2,200.0,,AA- (안정적),2021.07.08,2021.07.08 ( 14 : 35 ),,,전자단기사채,,,,,
BNK캐피탈(주),FB,본,255-3,200.0,,AA- (안정적),2021.07.08,2021.07.08 ( 14 : 35 ),,,전자단기사채,,,,,
BNK캐피탈(주),FB,본,255-1,100.0,,AA- (안정적),2021.07.08,2021.07.08 ( 14 : 35 ),,,전자단기사채,,,,,
BNK캐피탈(주),FB,본,254-2,100.0,,AA- (안정적),2021.07.08,2021.07.08 ( 14 : 35 ),,,전자단기사채,,,,,
BNK캐피탈(주),FB,본,254-1,100.0,,AA- (안정적),2021.07.08,2021.07.08 ( 14 : 35 ),,,전자단기사채,,,,,
CJ대한통운(주),SB,정기,98-3,500.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
CJ대한통운(주),SB,정기,98-2,1000.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
CJ대한통운(주),SB,정기,98-1,500.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
CJ대한통운(주),SB,정기,93-3,1000.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
CJ대한통운(주),SB,정기,93-2,1800.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
CJ대한통운(주),SB,정기,92-2,2100.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
CJ대한통운(주),SB,정기,91-3,500.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
CJ대한통운(주),SB,정기,91-2,1300.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
CJ대한통운(주),SB,정기,90-3,600.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
CJ대한통운(주),SB(P),정기,097,800.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
CJ대한통운(주),SB,정기,096,2000.0,AA-(안정적),AA- (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
(주)DGB금융지주,HB(Cocos),정기,조건부자본증권(상)4(신종-영구-5콜),1000.0,AA-(안정적),AA- (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,HB(Cocos),정기,조건부자본증권(상)1(신종-영구-5콜),1500.0,AA-(안정적),AA- (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,HB(Cocos),정기,조건부자본증권(상) 3(신종-영구-5콜),500.0,AA-(안정적),AA- (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,HB(Cocos),정기,조건부자본증권(상) 2(신종-영구-5콜),1000.0,AA-(안정적),AA- (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,9-2,500.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,8-2,600.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,11-3,1500.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,11-2,1000.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,11-1,1200.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,10-2,500.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,10-1,500.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,015,200.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,014,500.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,013,600.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
(주)DGB금융지주,FB,정기,012,500.0,AAA(안정적),AAA (안정적),2021.06.24,2021.06.24 ( 15 : 25 ),,,전자단기사채,,,,,
DL케미칼(주)디엘(주) 연대보증,SB,정기,264-2,800.0,AA-(안정적),AA- (안정적),2021.06.29,2021.06.30 ( 13 : 23 ),,,전자단기사채,,,,,
DL케미칼(주)디엘(주) 연대보증,SB,정기,263-1,1500.0,AA-(안정적),AA- (안정적),2021.06.29,2021.06.30 ( 13 : 23 ),,,전자단기사채,,,,,
(주)GS리테일,SB,정기,32-2,2000.0,AA(안정적),AA (안정적),2021.07.14,2021.07.15 ( 17 : 46 ),,,전자단기사채,,,,,
(주)GS리테일,SB,정기,32-1,2000.0,AA(안정적),AA (안정적),2021.07.14,2021.07.15 ( 17 : 46 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,12-2,300.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,12-1,400.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,11-2,2100.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,11-1,1200.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,008,1300.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,"FB(Sub, Cocos)",정기,005,600.0,AA-(안정적),AA- (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,005,1000.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,HB(Cocos),정기,004,2550.0,A+(안정적),A+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,HB(Cocos),정기,003,800.0,A+(안정적),A+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,HB(Cocos),정기,002,680.0,A+(안정적),A+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,426-5,200.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,426-4,100.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,426-3,400.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,426-2,200.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,426-1,100.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,425-2,100.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,425-1,200.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-7,200.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-6,300.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-5,500.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-4,200.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-3,700.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-2,500.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-1,600.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
LG이노텍(주),SB,정기,43-3,700.0,AA-(안정적),AA- (안정적),2021.06.23,2021.06.24 ( 18 : 11 ),,,전자단기사채,,,,,
LG이노텍(주),SB,정기,43-2,600.0,AA-(안정적),AA- (안정적),2021.06.23,2021.06.24 ( 18 : 11 ),,,전자단기사채,,,,,
